n_gens,n_evals,ind_id,f1,f2,f3,f4,f5,f6,f7,f8,obj_hard,obj_medium,obj_easy
1,10,0,1e-05,63.09224472101787,3.0922447210178636,23.092244721017863,104.19571211660995,3.0922447210178636,1e-05,13.092244721017863,1.9999935322275156e-05,2.9999889992127855e-05,29.461378706770553
1,10,1,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999972330754176e-05,31.189216745204465
1,10,2,1e-05,1e-05,1e-05,1e-05,3.703792696846239,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999979750513895e-05
1,10,3,1e-05,1e-05,1e-05,1e-05,3.815534131236448,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999980343537989e-05
1,10,4,1e-05,1e-05,1e-05,1e-05,3.6737911966924703,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999979585149535e-05
1,10,5,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
1,10,6,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,7,1e-05,1e-05,1e-05,1e-05,3.6737911966924703,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999979585149535e-05
1,10,8,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
1,10,9,43.09224472101786,23.092244721017863,1e-05,3.0922447210178636,34.00735136688537,1e-05,1e-05,23.092244721017863,1.9999995358794728e-05,1.4999975745813967e-05,25.858820935718306
2,20,0,1e-05,1e-05,1e-05,1e-05,3.6737911966924703,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999979585149535e-05
2,20,1,1e-05,3.0922447210178636,1e-05,3.0922447210178636,1e-05,1e-05,3.0922447210178636,3.0922447210178636,1e-05,2.9999805967452942e-05,2.9999805967452942e-05
2,20,2,1e-05,1e-05,1e-05,1e-05,4.050061724776559,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981481786574e-05
2,20,3,43.09224472101786,1e-05,1e-05,13.092244721017863,104.39198934168809,1e-05,1e-05,23.092244721017863,1.9999995358794728e-05,1.4999994271419994e-05,2.999998413485014e-05
2,20,4,1e-05,53.09224472101786,3.0922447210178636,1e-05,23.092244721017863,1e-05,43.09224472101786,1e-05,1e-05,2.999989602164985e-05,2.9999981358094277e-05
2,20,5,43.09224472101786,13.092244721017863,53.09224472101786,23.092244721017863,2.8449675216642674,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999981358094277e-05,6.366945680657134
2,20,6,1e-05,1e-05,1e-05,1e-05,3.703792696846239,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999979750513895e-05
2,20,7,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,8,1e-05,104.2485095276616,23.092244721017863,23.092244721017863,3.0922447210178636,23.092244721017863,73.09224472101786,103.39454194999531,1.9999991339087398e-05,29.913100769308166,8.755191952433005
2,20,9,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
3,30,0,1e-05,1e-05,1e-05,3.0922447210178636,4.039553931205937,1e-05,1e-05,3.0922447210178636,1e-05,1.4999975745813967e-05,2.9999828718451273e-05
3,30,1,3.0922447210178636,23.092244721017863,43.09224472101786,73.09224472101786,104.3770266555855,3.0922447210178636,1e-05,104.38453598362267,3.0922447210178636,2.9999988933791945e-05,48.02674348314836
3,30,2,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999972330754176e-05,31.189216745204465
3,30,3,1e-05,43.09224472101786,3.0922447210178636,23.092244721017863,103.47199750796877,23.092244721017863,73.09224472101786,3.0922447210178636,1.9999991339087398e-05,7.886941350902553,8.420812657356288
3,30,4,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999972330754176e-05,31.189216745204465
3,30,5,43.09224472101786,13.092244721017863,53.09224472101786,13.092244721017863,104.13037107678632,13.092244721017863,1e-05,23.092244721017863,20.082916800288874,2.9999971435155643e-05,23.203825893245135
3,30,6,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,103.92791603943006,1e-05,3.0922447210178636,3.0922447210178636,1e-05,4.347297343127852,8.526436601209229
3,30,7,1e-05,63.09224472101787,3.0922447210178636,23.092244721017863,103.87952047466618,3.0922447210178636,73.09224472101786,3.0922447210178636,1.9999935322275156e-05,7.886941350902553,8.59928989890463
3,30,8,3.0922447210178636,13.092244721017863,3.0922447210178636,23.092244721017863,103.74717194686546,1e-05,1e-05,33.09224472101786,1.9999935322275156e-05,2.9999889992127855e-05,25.809010665305827
3,30,9,43.09224472101786,13.092244721017863,43.09224472101786,13.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999970123891445e-05,23.20838892172642
4,40,0,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,103.50858583965423,3.0922447210178636,63.09224472101787,3.0922447210178636,1.9999935322275156e-05,7.842233904011417,8.52549207652015
4,40,1,43.09224472101786,23.092244721017863,53.09224472101786,3.0922447210178636,63.985292054355604,1e-05,1e-05,23.092244721017863,1.9999995358794728e-05,2.999989733290757e-05,29.343367275289545
4,40,2,23.092244721017863,104.47734817805,33.09224472101786,23.092244721017863,104.44266302112702,1e-05,13.092244721017863,23.092244721017863,1.9999991339087398e-05,20.012776391748925,48.03791851433187
4,40,3,43.09224472101786,13.092244721017863,63.09224472101787,13.092244721017863,104.2904731396847,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999972330754176e-05,23.206472091266193
4,40,4,1e-05,104.2766800078085,13.092244721017863,13.092244721017863,3.0922447210178636,53.09224472101786,73.09224472101786,103.39454194999531,1.9999996232972195e-05,18.024130645153587,8.755258166547197
4,40,5,43.09224472101786,43.09224472101786,103.09108790687074,23.092244721017863,104.2904731396847,3.0922447210178636,13.092244721017863,23.092244721017863,5.770412009106055,23.186463554974697,39.422218975915825
4,40,6,1e-05,13.092244721017863,3.0922447210178636,3.0922447210178636,14.17747480623831,1e-05,13.092244721017863,3.0922447210178636,1e-05,4.148457037526919,6.3788367057124935
4,40,7,13.092244721017863,103.33224022382316,23.092244721017863,3.0922447210178636,103.68890445380146,1e-05,73.09224472101786,53.09224472101786,1.9999984723792484e-05,7.886941350902553,78.62274387159292
4,40,8,43.09224472101786,23.092244721017863,63.09224472101787,23.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999982253693403e-05,31.189216745204465
4,40,9,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,1e-05,1e-05,23.092244721017863,1.9999995358794728e-05,2.9999972330754176e-05,31.189216745204465
5,50,0,43.09224472101786,13.092244721017863,93.09224472101786,13.092244721017863,104.31483125387501,13.092244721017863,53.09224472101786,23.092244721017863,20.082916800288874,28.313032537046904,23.206874027794935
5,50,1,1e-05,104.43082870353436,23.092244721017863,13.092244721017863,3.0922447210178636,1e-05,83.09224472101786,103.39454194999531,1e-05,22.775498948898,8.755619874897564
5,50,2,1e-05,102.77265122028673,33.09224472101786,23.092244721017863,103.24263141322261,23.092244721017863,73.09224472101786,103.39454194999531,1.9999991339087398e-05,34.40190057640476,103.13592778420535
5,50,3,53.09224472101786,104.3307464980945,23.092244721017863,23.092244721017863,73.21891582406823,13.092244721017863,13.092244721017863,23.092244721017863,21.004820511141038,18.406007876545363,45.08081401006637
5,50,4,43.09224472101786,23.092244721017863,63.09224472101787,23.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999982253693403e-05,31.189216745204465
5,50,5,1e-05,104.30407860662638,13.092244721017863,23.092244721017863,13.092244721017863,33.09224472101786,102.77265122028676,103.39454194999531,1.9999993956289724e-05,23.181078733431715,31.367582971829233
5,50,6,33.09224472101786,23.092244721017863,63.09224472101787,102.3026850879944,104.51087049546746,3.0922447210178636,1e-05,23.092244721017863,5.655976946095705,2.9999992312585057e-05,31.192311700892844
5,50,7,43.09224472101786,43.09224472101786,43.09224472101786,13.092244721017863,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999970123891445e-05,39.42775085469862
5,50,8,43.09224472101786,23.092244721017863,63.09224472101787,3.0922447210178636,104.40673144231184,3.0922447210178636,1e-05,23.092244721017863,5.770412009106055,2.9999898228501678e-05,31.189216745204465
5,50,9,23.092244721017863,73.09224472101786,33.09224472101786,33.09224472101786,104.44266302112702,13.092244721017863,23.092244721017863,13.092244721017863,16.71043719047096,28.917975300060775,30.109275788276527
6,60,0,1e-05,83.09224472101786,3.0922447210178636,13.092244721017863,13.092244721017863,53.09224472101786,83.09224472101786,33.09224472101786,1.9999996232972195e-05,7.284991074708147,25.287759116007937
6,60,1,3.0922447210178636,104.2766800078085,43.09224472101786,23.092244721017863,104.12067810417393,23.092244721017863,83.09224472101786,43.09224472101786,5.454135127827686,38.194455875312265,70.75447699303669
6,60,2,13.092244721017863,53.09224472101786,23.092244721017863,23.092244721017863,104.48414314422904,3.0922447210178636,1e-05,13.092244721017863,5.0028670684775385,2.999997401727344e-05,28.629486771912283
6,60,3,1e-05,104.35672164712021,33.09224472101786,33.09224472101786,103.65844601949298,33.09224472101786,63.09224472101787,103.39454194999531,1.9999993956289724e-05,39.32521620205179,103.80165213572351
6,60,4,1e-05,43.09224472101786,13.092244721017863,1e-05,4.497596111103613,3.0922447210178636,1e-05,23.092244721017863,1.9999935322275156e-05,1.4999994271419994e-05,10.38595562010764
6,60,5,23.092244721017863,104.2485095276616,13.092244721017863,23.092244721017863,104.07075176128379,23.092244721017863,83.09224472101786,13.092244721017863,23.092244721017863,22.775498948898,31.386529152502266
6,60,6,43.09224472101786,23.092244721017863,63.09224472101787,23.092244721017863,104.40673144231184,1e-05,1e-05,23.092244721017863,1.9999995358794728e-05,2.9999982253693403e-05,31.189216745204465
6,60,7,1e-05,103.33224022382316,23.092244721017863,3.0922447210178636,3.0922447210178636,1e-05,73.09224472101786,103.39454194999531,1e-05,7.886941350902553,8.753019152524853
6,60,8,1e-05,104.2485095276616,23.092244721017863,23.092244721017863,13.092244721017863,23.092244721017863,103.19462411506592,103.39454194999531,1.9999991339087398e-05,31.152780339447602,31.36590694987328
6,60,9,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,1e-05,1e-05,23.092244721017863,1.9999995358794728e-05,2.9999972330754176e-05,31.189216745204465
7,70,0,3.0922447210178636,13.092244721017863,23.092244721017863,13.092244721017863,104.05006172477655,23.092244721017863,1e-05,33.09224472101786,5.454135127827686,2.9999964094339662e-05,25.815242161200032
7,70,1,43.09224472101786,13.092244721017863,53.09224472101786,13.092244721017863,104.13037107678632,13.092244721017863,1e-05,23.092244721017863,20.082916800288874,2.9999971435155643e-05,23.203825893245135
7,70,2,43.09224472101786,23.092244721017863,83.09224472101786,23.092244721017863,104.33861013149162,13.092244721017863,13.092244721017863,23.092244721017863,20.082916800288874,22.775498948897997,31.187189207693066
7,70,3,3.0922447210178636,104.2766800078085,43.09224472101786,23.092244721017863,104.12067810417393,13.092244721017863,83.09224472101786,43.09224472101786,5.0028670684775385,38.194455875312265,70.75447699303669
7,70,4,1e-05,53.09224472101786,3.0922447210178636,23.092244721017863,103.50858583965423,3.0922447210178636,63.09224472101787,3.0922447210178636,1.9999935322275156e-05,7.842233904011417,8.52549207652015
7,70,5,53.09224472101786,104.3307464980945,23.092244721017863,23.092244721017863,83.62703064578687,13.092244721017863,13.092244721017863,23.092244721017863,21.004820511141038,18.406007876545363,46.26249891242141
7,70,6,43.09224472101786,23.092244721017863,63.09224472101787,23.092244721017863,104.40673144231184,13.092244721017863,1e-05,23.092244721017863,20.082916800288874,2.9999982253693403e-05,31.189216745204465
7,70,7,1e-05,104.35672164712021,33.09224472101786,23.092244721017863,103.47199750796877,33.09224472101786,63.09224472101787,103.39454194999531,1.9999993956289724e-05,33.56720317748138,103.73925602301982
7,70,8,43.09224472101786,104.3307464980945,53.09224472101786,23.092244721017863,104.47050672424363,13.092244721017863,13.092244721017863,33.09224472101786,20.082916800288874,21.657394125747714,60.7588264011598
7,70,9,13.092244721017863,104.40673144231184,43.09224472101786,33.09224472101786,104.07075176128379,13.092244721017863,53.09224472101786,13.092244721017863,13.092244721017863,41.516897406583425,31.391303342147296
8,80,0,3.0922447210178636,104.21952241095033,33.09224472101786,43.09224472101786,103.97407719316342,13.092244721017863,73.09224472101786,53.09224472101786,5.0028670684775385,44.70543522098892,78.84765559661244
8,80,1,3.0922447210178636,104.2766800078085,43.09224472101786,23.092244721017863,104.12067810417393,23.092244721017863,83.09224472101786,43.09224472101786,5.454135127827686,38.194455875312265,70.75447699303669
8,80,2,23.092244721017863,104.2485095276616,23.092244721017863,23.092244721017863,104.00735136688539,3.0922447210178636,83.09224472101786,13.092244721017863,5.454135127827686,30.412397878708628,31.384605892729088
8,80,3,53.09224472101786,104.3307464980945,102.4849899796493,23.092244721017863,83.9627351309698,13.092244721017863,13.092244721017863,23.092244721017863,21.004820511141038,23.17618773060968,46.296632436189896
8,80,4,43.09224472101786,23.092244721017863,63.09224472101787,13.092244721017863,104.40673144231184,13.092244721017863,1e-05,23.092244721017863,20.082916800288874,2.9999972330754176e-05,31.189216745204465
8,80,5,3.0922447210178636,104.2766800078085,43.09224472101786,23.092244721017863,104.12067810417393,13.092244721017863,83.09224472101786,43.09224472101786,5.0028670684775385,38.194455875312265,70.75447699303669
