n_gens,n_evals,ind_id,f1,f2,f3,f4,f5,f6,f7,f8,obj_hard,obj_medium,obj_easy
1,10,0,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
1,10,1,1e-05,1e-05,1e-05,1e-05,4.2136227758389175,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999982200610976e-05
1,10,2,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
1,10,3,1e-05,1e-05,1e-05,1e-05,3.9852920543555967,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998118082568e-05
1,10,4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1,10,5,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
1,10,6,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
1,10,7,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
1,10,8,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
1,10,9,1e-05,1e-05,1e-05,1e-05,4.605180185938091,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999983714009978e-05
2,20,0,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
2,20,1,1e-05,1e-05,1e-05,1e-05,4.248509527661609,1e-05,1e-05,1e-05,1e-05,1e-05,1.499998234677097e-05
2,20,2,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
2,20,3,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,4,1e-05,1e-05,1e-05,1e-05,4.517442188651063,1.2240695060251272,1e-05,2.8094629345119526,1.9999836611920213e-05,1e-05,2.999982680976355e-05
2,20,5,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
2,20,6,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
2,20,7,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.41447550260801,1.9999935322275156e-05,7.886941350902553,33.05943135125521
2,20,8,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2,20,9,1e-05,1e-05,1e-05,1e-05,4.504255329283851,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999983349097408e-05
3,30,0,1e-05,1e-05,1e-05,1e-05,4.484143144229058,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999983274415213e-05
3,30,1,1e-05,1e-05,1e-05,1e-05,3.9963825360458904,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999981233051268e-05
3,30,2,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
3,30,3,1e-05,1e-05,1e-05,1e-05,4.504255329283851,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999983349097408e-05
3,30,4,1e-05,1e-05,1e-05,1e-05,4.504255329283851,1e-05,1e-05,1e-05,1e-05,1e-05,1.4999983349097408e-05
3,30,5,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
3,30,6,1e-05,1e-05,1e-05,1e-05,4.504255329283851,1.2240695060251272,1e-05,2.8094629345119526,1.9999836611920213e-05,1e-05,2.9999826615343075e-05
3,30,7,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
3,30,8,3.0922447210178636,83.09224472101786,23.092244721017863,3.0922447210178636,14.48414314422906,1e-05,73.09224472101786,103.35344168224952,1.9999935322275156e-05,7.886941350902553,33.05735114473373
3,30,9,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.0922447210178636,1e-05,1e-05,1.4999975745813967e-05
