n_iter,n_gens,ind_id,mean_obj,obj_1,obj_2,obj_3
0,0,0,1e-05,1e-05,1e-05,1e-05
0,0,1,1e-05,1e-05,1e-05,1e-05
0,0,2,39.75891138768453,63.09224472101786,53.09224472101786,3.092244721017863
0,0,3,1e-05,1e-05,1e-05,1e-05
0,0,4,1e-05,1e-05,1e-05,1e-05
0,0,5,1e-05,1e-05,1e-05,1e-05
0,0,6,1e-05,1e-05,1e-05,1e-05
0,0,7,1e-05,1e-05,1e-05,1e-05
0,0,8,1e-05,1e-05,1e-05,1e-05
0,0,9,1e-05,1e-05,1e-05,1e-05
0,0,10,1e-05,1e-05,1e-05,1e-05
0,0,11,1e-05,1e-05,1e-05,1e-05
0,0,12,1e-05,1e-05,1e-05,1e-05
0,0,13,73.47766632323244,83.09224472101786,104.24850952766161,33.09224472101786
0,0,14,1e-05,1e-05,1e-05,1e-05
0,0,15,1e-05,1e-05,1e-05,1e-05
0,0,16,1e-05,1e-05,1e-05,1e-05
0,0,17,1e-05,1e-05,1e-05,1e-05
0,0,18,66.5055765552863,73.09224472101786,103.33224022382318,23.092244721017863
0,0,19,1e-05,1e-05,1e-05,1e-05
0,1,0,1e-05,1e-05,1e-05,1e-05
0,1,1,1e-05,1e-05,1e-05,1e-05
0,1,2,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,1,3,1e-05,1e-05,1e-05,1e-05
0,1,4,1e-05,1e-05,1e-05,1e-05
0,1,5,1e-05,1e-05,1e-05,1e-05
0,1,6,1e-05,1e-05,1e-05,1e-05
0,1,7,1e-05,1e-05,1e-05,1e-05
0,1,8,1e-05,1e-05,1e-05,1e-05
0,1,9,1e-05,1e-05,1e-05,1e-05
0,1,10,1e-05,1e-05,1e-05,1e-05
0,1,11,1e-05,1e-05,1e-05,1e-05
0,1,12,1e-05,1e-05,1e-05,1e-05
0,1,13,73.47766632323244,83.09224472101786,104.2485095276616,33.09224472101786
0,1,14,1e-05,1e-05,1e-05,1e-05
0,1,15,1e-05,1e-05,1e-05,1e-05
0,1,16,1e-05,1e-05,1e-05,1e-05
0,1,17,1e-05,1e-05,1e-05,1e-05
0,1,18,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,1,19,1e-05,1e-05,1e-05,1e-05
0,2,0,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,2,1,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,2,2,1e-05,1e-05,1e-05,1e-05
0,2,3,6.425578054351196,13.092244721017863,3.0922447210178636,3.0922447210178636
0,2,4,1e-05,1e-05,1e-05,1e-05
0,2,5,1e-05,1e-05,1e-05,1e-05
0,2,6,53.09224472101786,83.09224472101786,63.09224472101787,13.092244721017863
0,2,7,1e-05,1e-05,1e-05,1e-05
0,2,8,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,2,9,1e-05,1e-05,1e-05,1e-05
0,2,10,1e-05,1e-05,1e-05,1e-05
0,2,11,1e-05,1e-05,1e-05,1e-05
0,2,12,1.0307549070059545,1e-05,1e-05,3.0922447210178636
0,2,13,1e-05,1e-05,1e-05,1e-05
0,2,14,1e-05,1e-05,1e-05,1e-05
0,2,15,1e-05,1e-05,1e-05,1e-05
0,2,16,1e-05,1e-05,1e-05,1e-05
0,2,17,1e-05,1e-05,1e-05,1e-05
0,2,18,1e-05,1e-05,1e-05,1e-05
0,2,19,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,3,0,60.14433298989911,63.09224472101787,104.2485095276616,13.092244721017863
0,3,1,17.697421573672624,53.09224472101786,1e-05,1e-05
0,3,2,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,3,3,15.394833147345244,1e-05,43.09224472101786,3.0922447210178636
0,3,4,1.0307549070059545,3.0922447210178636,1e-05,1e-05
0,3,5,73.47766632323244,83.09224472101786,104.2485095276616,33.09224472101786
0,3,6,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,3,7,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,3,8,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,3,9,59.75891138768453,63.09224472101787,53.09224472101786,63.09224472101787
0,3,10,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,3,11,6.425578054351196,13.092244721017863,3.0922447210178636,3.0922447210178636
0,3,12,23.092244721017863,53.09224472101786,3.0922447210178636,13.092244721017863
0,3,13,5.394833147345242,13.092244721017863,1e-05,3.0922447210178636
0,3,14,1e-05,1e-05,1e-05,1e-05
0,3,15,1e-05,1e-05,1e-05,1e-05
0,3,16,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,3,17,69.83890988861963,73.09224472101786,103.33224022382316,33.09224472101786
0,3,18,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,3,19,73.16502298370472,103.31057950907842,83.09224472101786,33.09224472101786
0,4,0,72.94120606589051,63.09224472101787,53.09224472101786,102.6391287556358
0,4,1,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,4,2,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,4,3,39.75891138768453,63.09224472101787,53.09224472101786,3.0922447210178636
0,4,4,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,4,5,66.42519244963549,63.09224472101787,103.09108790687074,33.09224472101786
0,4,6,36.4255780543512,53.09224472101786,43.09224472101786,13.092244721017863
0,4,7,72.29271216587911,63.09224472101787,53.09224472101786,100.6936470556016
0,4,8,66.48087481361868,53.09224472101786,103.25813499882032,43.09224472101786
0,4,9,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,4,10,66.64072762318649,83.09224472101786,103.73769342752374,13.092244721017863
0,4,11,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,4,12,73.47766632323244,83.09224472101786,104.2485095276616,33.09224472101786
0,4,13,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,4,14,43.403286329918096,3.0922447210178636,23.092244721017863,104.02536954771855
0,4,15,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,4,16,73.4870564832814,73.09224472101786,104.2766800078085,43.09224472101786
0,4,17,66.85550952554384,73.09224472101786,104.38203913459576,23.092244721017863
0,4,18,63.17224322195296,63.09224472101787,103.33224022382316,23.092244721017863
0,4,19,66.5055765552863,73.09224472101786,103.33224022382316,23.092244721017863
0,5,0,66.81099965656577,73.09224472101786,104.2485095276616,23.092244721017863
0,5,1,53.09224472101786,83.09224472101786,63.09224472101787,13.092244721017863
