n_iter,n_evals,max_enemies_beaten
0,0,4
1,200,4
2,400,4
3,600,4
3,600,3
4,800,4
5,1000,3
6,1200,3
8,1600,4
8,1600,4
10,2000,4
10,2000,4
12,2400,4
13,2600,4
13,2600,4
14,2800,4
16,3200,4
17,3400,4
17,3400,4
18,3600,4
19,3800,4
21,4200,4
22,4400,4
22,4400,4
23,4600,4
25,5000,4
25,5000,4
27,5400,4
28,5600,4
29,5800,4
30,6000,4
31,6200,4
32,6400,4
32,6400,4
34,6800,4
35,7000,4
35,7000,4
36,7200,4
38,7600,4
38,7600,4
40,8000,4
40,8000,3
41,8200,3
42,8400,3
43,8600,3
45,9000,5
46,9200,5
47,9400,5
47,9400,5
49,9800,4
49,9800,3
50,10000,3
51,10200,3
52,10400,3
53,10600,3
54,10800,3
55,11000,3
56,11200,3
57,11400,3
59,11800,3
60,12000,4
60,12000,4
62,12400,4
63,12600,4
64,12800,4
65,13000,4
66,13200,3
66,13200,3
67,13400,4
69,13800,4
70,14000,4
71,14200,4
72,14400,4
73,14600,3
73,14600,3
74,14800,3
75,15000,3
76,15200,3
77,15400,3
78,15600,4
80,16000,3
80,16000,3
81,16200,4
83,16600,4
84,16800,4
84,16800,4
86,17200,4
87,17400,4
88,17600,4
89,17800,5
90,18000,5
91,18200,5
92,18400,5
93,18600,5
94,18800,5
95,19000,5
96,19200,5
96,19200,4
98,19600,4
99,19800,4
100,20000,4
100,20000,4
102,20400,4
103,20600,4
104,20800,4
104,20800,4
105,21000,4
106,21200,4
107,21400,4
109,21800,4
110,22000,4
110,22000,4
112,22400,5
113,22600,5
114,22800,5
115,23000,5
116,23200,5
117,23400,4
117,23400,4
118,23600,4
119,23800,4
121,24200,4
122,24400,4
122,24400,4
123,24600,4
125,25000,4
125,25000,4
127,25400,4
127,25400,4
129,25800,4
130,26000,4
130,26000,4
131,26200,4
133,26600,4
134,26800,4
134,26800,4
136,27200,4
137,27400,4
138,27600,4
139,27800,4
140,28000,4
140,28000,4
142,28400,4
142,28400,4
143,28600,5
144,28800,4
145,29000,4
147,29400,4
147,29400,4
149,29800,4
149,29800,4
151,30200,4
152,30400,5
153,30600,5
154,30800,5
155,31000,5
155,31000,4
156,31200,4
158,31600,5
159,31800,5
160,32000,5
161,32200,5
162,32400,5
163,32600,5
164,32800,5
165,33000,5
166,33200,5
167,33400,5
168,33600,5
169,33800,5
170,34000,5
171,34200,5
172,34400,5
173,34600,5
174,34800,5
175,35000,5
176,35200,4
177,35400,4
178,35600,4
179,35800,4
179,35800,4
181,36200,4
182,36400,4
183,36600,4
184,36800,4
184,36800,4
185,37000,4
186,37200,4
187,37400,4
188,37600,4
190,38000,4
191,38200,4
192,38400,4
192,38400,4
194,38800,4
195,39000,4
195,39000,4
196,39200,4
198,39600,4
199,39800,4
200,40000,4
201,40200,4
201,40200,4
202,40400,4
203,40600,4
204,40800,4
205,41000,4
206,41200,4
207,41400,4
208,41600,4
209,41800,5
210,42000,4
211,42200,4
212,42400,4
213,42600,4
214,42800,5
216,43200,4
216,43200,4
217,43400,5
218,43600,5
220,44000,5
220,44000,5
221,44200,5
222,44400,5
223,44600,4
224,44800,4
226,45200,4
226,45200,4
227,45400,4
228,45600,4
229,45800,4
230,46000,5
231,46200,5
232,46400,5
233,46600,4
234,46800,4
235,47000,4
236,47200,4
237,47400,4
239,47800,5
240,48000,5
240,48000,4
241,48200,4
242,48400,5
243,48600,5
244,48800,4
245,49000,4
247,49400,4
247,49400,4
249,49800,4
250,50000,4
250,50000,4
