n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,3
1,200,3
2,400,3
4,800,4
5,1000,4
6,1200,4
7,1400,4
8,1600,4
9,1800,4
10,2000,4
11,2200,4
12,2400,4
13,2600,4
13,2600,4
15,3000,4
15,3000,4
17,3400,4
17,3400,4
19,3800,4
19,3800,5
20,4000,4
21,4200,4
23,4600,4
24,4800,4
24,4800,5
26,5200,5
27,5400,5
28,5600,5
29,5800,5
30,6000,5
31,6200,5
32,6400,5
33,6600,4
34,6800,4
34,6800,5
35,7000,5
37,7400,4
38,7600,4
39,7800,4
40,8000,4
41,8200,4
42,8400,4
43,8600,4
44,8800,4
44,8800,4
45,9000,5
46,9200,5
48,9600,4
49,9800,4
49,9800,5
50,10000,5
52,10400,5
53,10600,5
53,10600,5
55,11000,5
56,11200,5
57,11400,5
58,11600,5
59,11800,5
60,12000,5
61,12200,5
61,12200,5
63,12600,5
64,12800,4
65,13000,4
65,13000,4
67,13400,4
67,13400,4
69,13800,4
69,13800,4
70,14000,4
72,14400,4
72,14400,3
73,14600,4
75,15000,4
76,15200,4
77,15400,4
78,15600,4
79,15800,4
80,16000,4
81,16200,4
82,16400,4
83,16600,4
83,16600,5
84,16800,3
85,17000,3
86,17200,3
87,17400,5
88,17600,3
89,17800,3
90,18000,3
91,18200,4
92,18400,4
94,18800,3
94,18800,4
95,19000,3
96,19200,3
97,19400,3
98,19600,3
99,19800,3
100,20000,3
101,20200,4
102,20400,4
103,20600,5
104,20800,3
105,21000,3
106,21200,3
107,21400,4
108,21600,3
109,21800,3
110,22000,3
111,22200,4
112,22400,3
113,22600,3
114,22800,3
115,23000,4
117,23400,4
117,23400,4
119,23800,4
119,23800,4
121,24200,4
122,24400,4
123,24600,4
123,24600,4
124,24800,3
125,25000,4
126,25200,3
128,25600,3
128,25600,4
129,25800,3
130,26000,3
131,26200,3
132,26400,3
133,26600,3
135,27000,3
135,27000,3
137,27400,4
137,27400,4
139,27800,4
140,28000,4
141,28200,4
141,28200,3
142,28400,4
143,28600,3
144,28800,3
145,29000,4
147,29400,4
148,29600,4
149,29800,4
150,30000,4
151,30200,4
152,30400,3
152,30400,3
154,30800,4
155,31000,4
156,31200,4
157,31400,4
157,31400,4
158,31600,4
160,32000,4
161,32200,4
162,32400,4
163,32600,4
164,32800,4
165,33000,4
166,33200,4
167,33400,4
168,33600,4
169,33800,5
170,34000,5
170,34000,4
172,34400,4
172,34400,5
173,34600,4
174,34800,5
175,35000,4
177,35400,4
177,35400,4
179,35800,4
179,35800,4
181,36200,4
181,36200,4
182,36400,4
184,36800,4
185,37000,4
185,37000,4
186,37200,4
187,37400,4
188,37600,4
189,37800,4
190,38000,4
192,38400,4
192,38400,4
194,38800,4
195,39000,4
196,39200,4
196,39200,5
197,39400,4
198,39600,4
199,39800,4
200,40000,4
201,40200,3
202,40400,4
204,40800,4
205,41000,4
205,41000,4
207,41400,4
208,41600,4
209,41800,4
210,42000,4
211,42200,4
212,42400,4
213,42600,5
214,42800,5
214,42800,4
215,43000,4
217,43400,4
218,43600,4
218,43600,4
220,44000,4
221,44200,5
221,44200,5
223,44600,5
224,44800,5
225,45000,5
226,45200,5
227,45400,5
228,45600,5
229,45800,5
230,46000,5
230,46000,5
231,46200,5
232,46400,5
233,46600,5
234,46800,4
235,47000,5
236,47200,5
237,47400,5
238,47600,5
240,48000,5
240,48000,5
242,48400,5
243,48600,5
244,48800,5
245,49000,4
246,49200,4
246,49200,5
247,49400,4
249,49800,4
249,49800,4
250,50000,4
