n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,4
1,200,4
2,400,3
3,600,3
4,800,3
5,1000,3
6,1200,3
7,1400,3
8,1600,4
9,1800,4
10,2000,4
11,2200,4
12,2400,3
13,2600,4
14,2800,4
16,3200,4
16,3200,3
17,3400,3
19,3800,3
19,3800,4
20,4000,4
22,4400,4
23,4600,4
24,4800,4
24,4800,4
25,5000,4
27,5400,4
28,5600,4
28,5600,4
29,5800,4
30,6000,4
31,6200,4
33,6600,5
34,6800,5
35,7000,5
36,7200,5
37,7400,5
38,7600,4
39,7800,4
40,8000,4
41,8200,4
41,8200,4
42,8400,4
43,8600,5
45,9000,4
46,9200,4
46,9200,4
48,9600,4
48,9600,4
50,10000,5
50,10000,5
52,10400,4
53,10600,4
54,10800,4
55,11000,5
56,11200,4
56,11200,4
57,11400,5
58,11600,4
59,11800,4
60,12000,4
61,12200,4
63,12600,4
63,12600,4
64,12800,4
66,13200,4
66,13200,4
67,13400,5
69,13800,4
69,13800,4
70,14000,4
72,14400,4
73,14600,4
74,14800,4
75,15000,4
76,15200,4
77,15400,4
77,15400,4
79,15800,4
80,16000,4
81,16200,4
82,16400,4
82,16400,4
83,16600,4
85,17000,4
85,17000,4
86,17200,4
88,17600,4
88,17600,4
90,18000,4
90,18000,5
92,18400,4
92,18400,4
93,18600,4
94,18800,4
96,19200,4
97,19400,4
98,19600,4
99,19800,4
99,19800,4
101,20200,4
102,20400,4
102,20400,4
103,20600,4
105,21000,4
105,21000,4
106,21200,4
107,21400,4
108,21600,4
110,22000,4
110,22000,4
111,22200,4
113,22600,4
113,22600,5
114,22800,5
116,23200,4
116,23200,5
117,23400,5
118,23600,4
120,24000,4
120,24000,5
121,24200,4
123,24600,4
123,24600,4
124,24800,4
126,25200,5
126,25200,5
127,25400,5
128,25600,5
130,26000,5
131,26200,5
131,26200,5
133,26600,5
134,26800,5
135,27000,5
136,27200,5
136,27200,5
138,27600,5
139,27800,5
139,27800,5
141,28200,5
141,28200,5
142,28400,5
144,28800,5
144,28800,6
145,29000,6
146,29200,6
147,29400,6
149,29800,6
150,30000,6
151,30200,6
151,30200,5
152,30400,5
153,30600,4
154,30800,5
155,31000,5
157,31400,5
157,31400,5
158,31600,4
159,31800,6
160,32000,5
161,32200,5
162,32400,5
163,32600,5
165,33000,5
166,33200,5
167,33400,5
167,33400,5
168,33600,5
170,34000,5
171,34200,5
171,34200,6
173,34600,6
174,34800,6
175,35000,6
175,35000,6
177,35400,6
178,35600,6
178,35600,6
179,35800,6
180,36000,6
181,36200,6
182,36400,5
183,36600,5
184,36800,5
185,37000,6
187,37400,6
188,37600,6
189,37800,6
190,38000,6
191,38200,6
192,38400,6
192,38400,6
194,38800,5
195,39000,5
196,39200,5
196,39200,6
197,39400,5
198,39600,5
199,39800,5
200,40000,5
202,40400,5
203,40600,5
204,40800,5
205,41000,5
205,41000,6
206,41200,5
207,41400,5
208,41600,5
209,41800,5
210,42000,5
211,42200,5
212,42400,5
213,42600,6
215,43000,5
216,43200,5
216,43200,6
217,43400,6
218,43600,5
219,43800,5
220,44000,6
221,44200,4
222,44400,5
223,44600,4
224,44800,5
226,45200,5
227,45400,5
227,45400,5
228,45600,5
229,45800,5
230,46000,5
231,46200,5
233,46600,5
234,46800,4
234,46800,5
235,47000,4
236,47200,5
237,47400,6
238,47600,6
239,47800,5
240,48000,5
241,48200,5
242,48400,6
243,48600,5
244,48800,5
245,49000,6
246,49200,5
247,49400,5
248,49600,6
249,49800,5
250,50000,5
