n_iter,n_evals,max_enemies_beaten
0,0,4
1,200,4
1,200,4
2,400,4
3,600,4
5,1000,4
5,1000,4
7,1400,4
8,1600,4
9,1800,4
10,2000,4
10,2000,4
11,2200,4
12,2400,4
14,2800,4
15,3000,4
16,3200,4
16,3200,4
18,3600,5
18,3600,5
20,4000,5
21,4200,5
21,4200,5
22,4400,5
24,4800,5
24,4800,5
25,5000,5
26,5200,4
28,5600,4
29,5800,5
30,6000,4
30,6000,5
32,6400,5
32,6400,5
34,6800,5
34,6800,5
35,7000,5
36,7200,5
38,7600,5
39,7800,5
39,7800,5
41,8200,5
41,8200,5
43,8600,5
44,8800,5
44,8800,5
46,9200,5
47,9400,5
47,9400,5
49,9800,5
50,10000,5
51,10200,5
52,10400,5
53,10600,5
54,10800,5
54,10800,5
56,11200,5
56,11200,5
58,11600,5
59,11800,5
60,12000,5
61,12200,5
62,12400,5
63,12600,5
64,12800,5
65,13000,5
66,13200,5
67,13400,5
68,13600,5
69,13800,5
69,13800,6
70,14000,5
72,14400,5
73,14600,5
73,14600,5
74,14800,5
75,15000,5
77,15400,5
77,15400,5
78,15600,4
79,15800,4
80,16000,5
81,16200,5
82,16400,5
83,16600,5
84,16800,5
86,17200,5
86,17200,5
88,17600,5
89,17800,6
89,17800,6
90,18000,5
92,18400,5
93,18600,5
93,18600,5
95,19000,5
96,19200,5
97,19400,5
97,19400,6
98,19600,5
100,20000,5
100,20000,5
101,20200,5
102,20400,5
104,20800,5
105,21000,5
106,21200,5
106,21200,5
108,21600,5
108,21600,5
110,22000,5
111,22200,5
111,22200,5
113,22600,5
114,22800,5
115,23000,5
116,23200,5
116,23200,5
118,23600,5
118,23600,5
120,24000,5
121,24200,5
122,24400,5
123,24600,5
123,24600,4
124,24800,5
125,25000,4
126,25200,5
127,25400,5
129,25800,5
130,26000,5
130,26000,5
131,26200,5
132,26400,6
133,26600,5
134,26800,5
135,27000,5
137,27400,5
138,27600,5
139,27800,5
140,28000,5
141,28200,5
142,28400,5
142,28400,5
143,28600,5
145,29000,5
145,29000,5
146,29200,6
148,29600,5
148,29600,5
149,29800,5
150,30000,5
152,30400,5
153,30600,5
154,30800,5
154,30800,5
155,31000,5
156,31200,5
157,31400,5
158,31600,6
159,31800,6
160,32000,5
161,32200,5
162,32400,6
163,32600,6
165,33000,5
166,33200,5
167,33400,5
167,33400,5
169,33800,5
170,34000,5
170,34000,5
171,34200,5
173,34600,5
174,34800,5
174,34800,5
175,35000,5
176,35200,5
177,35400,5
178,35600,5
179,35800,5
181,36200,5
181,36200,5
182,36400,5
183,36600,5
184,36800,5
185,37000,5
186,37200,6
188,37600,5
189,37800,5
189,37800,5
190,38000,6
191,38200,5
192,38400,5
194,38800,5
194,38800,5
195,39000,5
196,39200,5
198,39600,5
198,39600,5
199,39800,5
200,40000,5
201,40200,5
202,40400,5
203,40600,5
204,40800,6
206,41200,5
206,41200,5
207,41400,5
209,41800,5
209,41800,5
211,42200,5
211,42200,5
212,42400,5
213,42600,5
214,42800,5
215,43000,5
217,43400,6
217,43400,6
219,43800,6
219,43800,5
220,44000,5
221,44200,5
222,44400,5
223,44600,5
224,44800,5
225,45000,5
226,45200,5
227,45400,6
228,45600,6
229,45800,6
230,46000,6
231,46200,6
232,46400,5
233,46600,6
235,47000,6
235,47000,6
237,47400,6
238,47600,6
239,47800,6
239,47800,6
241,48200,5
241,48200,6
242,48400,6
244,48800,6
245,49000,6
245,49000,6
247,49400,6
247,49400,6
249,49800,6
249,49800,6
250,50000,6
