n_iter,n_evals,max_enemies_beaten
0,0,3
0,0,3
1,200,3
2,400,3
3,600,3
4,800,3
5,1000,3
6,1200,3
7,1400,3
8,1600,3
9,1800,3
10,2000,3
11,2200,3
12,2400,3
13,2600,3
14,2800,3
16,3200,3
17,3400,4
17,3400,5
18,3600,3
19,3800,3
20,4000,3
21,4200,4
22,4400,3
23,4600,3
25,5000,4
25,5000,4
26,5200,3
27,5400,3
28,5600,3
29,5800,4
31,6200,4
31,6200,4
33,6600,4
34,6800,4
34,6800,4
36,7200,4
36,7200,3
37,7400,4
38,7600,4
40,8000,5
40,8000,5
41,8200,4
42,8400,4
43,8600,4
44,8800,4
45,9000,5
46,9200,4
48,9600,4
48,9600,4
50,10000,4
50,10000,4
52,10400,4
53,10600,4
53,10600,4
54,10800,4
55,11000,4
56,11200,4
57,11400,4
58,11600,4
60,12000,4
60,12000,4
62,12400,4
63,12600,4
63,12600,4
64,12800,4
66,13200,5
67,13400,5
67,13400,5
69,13800,5
70,14000,5
71,14200,5
72,14400,5
72,14400,4
74,14800,4
75,15000,5
76,15200,5
76,15200,5
78,15600,5
79,15800,5
80,16000,5
80,16000,5
81,16200,5
82,16400,5
83,16600,5
84,16800,5
86,17200,5
86,17200,5
88,17600,5
88,17600,6
90,18000,5
90,18000,5
91,18200,5
92,18400,4
93,18600,6
94,18800,6
95,19000,5
96,19200,5
97,19400,5
98,19600,5
99,19800,5
100,20000,5
102,20400,5
102,20400,5
103,20600,5
104,20800,5
105,21000,5
106,21200,5
108,21600,5
109,21800,5
110,22000,5
110,22000,5
111,22200,5
112,22400,5
114,22800,5
114,22800,5
116,23200,5
117,23400,6
118,23600,6
119,23800,6
119,23800,5
121,24200,5
122,24400,5
122,24400,5
123,24600,5
124,24800,6
126,25200,5
127,25400,6
127,25400,5
129,25800,5
130,26000,5
131,26200,5
132,26400,6
132,26400,6
134,26800,6
135,27000,6
136,27200,6
137,27400,6
138,27600,6
139,27800,6
140,28000,6
140,28000,6
141,28200,5
142,28400,5
143,28600,5
144,28800,5
145,29000,5
146,29200,5
147,29400,5
149,29800,5
150,30000,5
150,30000,5
151,30200,6
153,30600,5
153,30600,4
154,30800,5
156,31200,6
157,31400,6
157,31400,6
159,31800,6
160,32000,6
160,32000,6
161,32200,6
162,32400,5
163,32600,5
164,32800,5
165,33000,5
166,33200,5
168,33600,5
169,33800,5
170,34000,5
170,34000,6
172,34400,5
172,34400,7
173,34600,5
174,34800,5
176,35200,5
176,35200,4
178,35600,6
179,35800,6
180,36000,6
180,36000,5
181,36200,5
182,36400,5
184,36800,5
185,37000,6
186,37200,6
187,37400,6
188,37600,6
189,37800,6
190,38000,5
190,38000,6
191,38200,6
192,38400,6
193,38600,7
194,38800,6
196,39200,6
196,39200,6
198,39600,6
199,39800,7
200,40000,7
201,40200,7
202,40400,7
203,40600,7
204,40800,7
205,41000,7
206,41200,7
207,41400,7
208,41600,7
208,41600,7
210,42000,7
211,42200,7
212,42400,7
213,42600,7
214,42800,7
215,43000,7
216,43200,7
217,43400,7
218,43600,7
219,43800,7
220,44000,7
221,44200,7
222,44400,7
223,44600,7
224,44800,7
224,44800,7
226,45200,6
226,45200,6
228,45600,7
229,45800,6
229,45800,6
231,46200,6
231,46200,6
233,46600,6
234,46800,6
235,47000,6
236,47200,6
236,47200,6
237,47400,6
238,47600,6
240,48000,6
241,48200,7
241,48200,7
243,48600,7
244,48800,7
245,49000,7
245,49000,7
247,49400,7
248,49600,7
248,49600,7
250,50000,7
250,50000,5
