n_iter,n_evals,max_enemies_beaten
0,0,3
0,0,3
1,200,4
2,400,3
3,600,4
4,800,4
6,1200,4
7,1400,4
8,1600,4
9,1800,4
9,1800,4
10,2000,4
11,2200,5
12,2400,4
14,2800,4
15,3000,4
15,3000,5
16,3200,4
17,3400,4
18,3600,4
19,3800,4
20,4000,4
22,4400,4
22,4400,5
23,4600,4
24,4800,4
25,5000,4
26,5200,4
28,5600,4
29,5800,4
30,6000,4
31,6200,5
32,6400,5
33,6600,4
34,6800,4
34,6800,4
35,7000,4
36,7200,5
38,7600,4
38,7600,4
39,7800,4
40,8000,4
41,8200,5
43,8600,4
43,8600,5
45,9000,5
45,9000,4
46,9200,5
47,9400,5
48,9600,4
49,9800,4
51,10200,4
51,10200,5
53,10600,4
53,10600,4
54,10800,4
55,11000,5
56,11200,4
57,11400,5
58,11600,4
59,11800,4
60,12000,4
61,12200,6
63,12600,4
64,12800,4
64,12800,5
65,13000,4
66,13200,4
67,13400,4
69,13800,4
69,13800,5
71,14200,5
71,14200,5
73,14600,5
73,14600,6
75,15000,5
76,15200,5
77,15400,5
78,15600,5
78,15600,5
80,16000,5
81,16200,5
82,16400,5
83,16600,5
84,16800,5
84,16800,5
86,17200,5
86,17200,5
87,17400,5
89,17800,4
90,18000,5
91,18200,5
92,18400,5
92,18400,5
93,18600,4
94,18800,5
95,19000,5
96,19200,4
97,19400,5
98,19600,4
99,19800,4
100,20000,4
101,20200,4
102,20400,5
103,20600,4
105,21000,5
106,21200,5
106,21200,5
108,21600,5
109,21800,5
110,22000,5
111,22200,5
112,22400,5
113,22600,5
114,22800,5
115,23000,5
116,23200,5
117,23400,5
117,23400,5
118,23600,5
120,24000,5
121,24200,5
122,24400,5
123,24600,5
124,24800,5
125,25000,5
125,25000,5
126,25200,5
128,25600,4
128,25600,4
129,25800,4
131,26200,5
131,26200,5
133,26600,5
134,26800,5
134,26800,5
135,27000,5
137,27400,5
138,27600,5
138,27600,6
140,28000,5
140,28000,5
141,28200,5
142,28400,5
144,28800,5
144,28800,5
146,29200,5
147,29400,6
148,29600,6
149,29800,6
150,30000,6
151,30200,6
152,30400,6
153,30600,6
153,30600,5
154,30800,6
155,31000,5
157,31400,5
158,31600,5
158,31600,6
159,31800,5
161,32200,5
162,32400,5
163,32600,5
164,32800,5
164,32800,5
166,33200,5
167,33400,5
168,33600,5
168,33600,5
169,33800,5
170,34000,5
171,34200,5
172,34400,5
174,34800,5
174,34800,5
175,35000,5
176,35200,5
177,35400,6
178,35600,5
179,35800,6
180,36000,5
181,36200,5
182,36400,5
183,36600,6
184,36800,5
185,37000,5
186,37200,5
187,37400,6
188,37600,5
189,37800,5
190,38000,5
191,38200,5
193,38600,5
193,38600,5
194,38800,7
195,39000,5
197,39400,5
198,39600,5
198,39600,5
200,40000,5
200,40000,5
201,40200,5
202,40400,5
203,40600,5
205,41000,5
205,41000,5
206,41200,5
207,41400,6
208,41600,5
210,42000,5
210,42000,5
211,42200,5
212,42400,6
213,42600,5
214,42800,5
215,43000,5
216,43200,5
217,43400,5
218,43600,6
219,43800,5
220,44000,5
221,44200,5
222,44400,5
223,44600,4
224,44800,4
226,45200,6
226,45200,6
228,45600,6
229,45800,6
230,46000,6
231,46200,6
232,46400,6
232,46400,6
233,46600,6
235,47000,6
236,47200,6
236,47200,6
238,47600,6
238,47600,6
240,48000,6
241,48200,6
241,48200,6
242,48400,5
244,48800,5
244,48800,6
245,49000,6
246,49200,6
247,49400,5
248,49600,5
249,49800,5
250,50000,4
