n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,3
2,400,3
3,600,4
3,600,4
4,800,4
6,1200,5
7,1400,5
7,1400,5
9,1800,5
10,2000,5
11,2200,5
12,2400,5
12,2400,5
14,2800,4
14,2800,4
15,3000,7
16,3200,5
17,3400,5
19,3800,5
20,4000,5
20,4000,5
21,4200,5
23,4600,5
24,4800,5
25,5000,5
25,5000,5
27,5400,5
27,5400,5
29,5800,5
30,6000,5
31,6200,5
32,6400,5
33,6600,5
34,6800,5
35,7000,5
35,7000,5
37,7400,5
37,7400,5
39,7800,5
39,7800,5
40,8000,5
42,8400,5
43,8600,5
43,8600,5
44,8800,4
45,9000,5
46,9200,4
47,9400,4
48,9600,5
49,9800,5
51,10200,5
52,10400,5
52,10400,4
53,10600,4
54,10800,4
55,11000,4
57,11400,5
57,11400,4
58,11600,5
59,11800,4
61,12200,5
62,12400,5
63,12600,5
63,12600,5
64,12800,5
65,13000,5
66,13200,6
68,13600,5
69,13800,5
69,13800,5
71,14200,5
71,14200,5
72,14400,5
73,14600,5
74,14800,5
75,15000,4
76,15200,5
77,15400,6
78,15600,5
80,16000,5
81,16200,5
81,16200,5
82,16400,5
83,16600,5
84,16800,5
85,17000,5
87,17400,5
87,17400,4
88,17600,4
90,18000,4
91,18200,4
91,18200,5
93,18600,5
93,18600,5
95,19000,5
95,19000,5
97,19400,5
97,19400,5
99,19800,5
99,19800,5
101,20200,5
102,20400,5
103,20600,6
104,20800,6
105,21000,6
106,21200,6
107,21400,6
107,21400,6
109,21800,5
109,21800,5
110,22000,5
112,22400,5
112,22400,6
114,22800,5
115,23000,5
116,23200,5
116,23200,5
118,23600,5
118,23600,5
120,24000,5
120,24000,4
121,24200,4
122,24400,5
123,24600,4
124,24800,4
125,25000,4
126,25200,5
127,25400,5
128,25600,4
129,25800,5
130,26000,5
131,26200,4
132,26400,4
133,26600,5
135,27000,5
136,27200,5
137,27400,5
137,27400,5
138,27600,5
139,27800,5
140,28000,4
141,28200,4
142,28400,5
143,28600,5
144,28800,5
145,29000,5
147,29400,6
148,29600,6
148,29600,6
149,29800,5
150,30000,5
151,30200,5
152,30400,6
154,30800,5
155,31000,5
156,31200,5
156,31200,6
158,31600,6
159,31800,6
160,32000,6
161,32200,6
161,32200,6
162,32400,5
163,32600,5
164,32800,5
165,33000,5
166,33200,5
167,33400,5
169,33800,5
170,34000,5
170,34000,5
172,34400,5
172,34400,6
174,34800,5
174,34800,5
175,35000,5
176,35200,5
178,35600,5
179,35800,5
179,35800,5
180,36000,5
181,36200,5
182,36400,5
183,36600,5
184,36800,5
185,37000,5
186,37200,5
187,37400,5
189,37800,5
189,37800,5
191,38200,5
191,38200,5
193,38600,5
194,38800,5
195,39000,6
196,39200,6
196,39200,6
198,39600,6
199,39800,6
200,40000,6
200,40000,6
201,40200,6
203,40600,6
204,40800,6
205,41000,6
206,41200,6
207,41400,6
208,41600,6
209,41800,6
210,42000,6
210,42000,6
212,42400,6
213,42600,6
214,42800,6
214,42800,6
215,43000,6
216,43200,5
217,43400,5
218,43600,5
219,43800,5
220,44000,6
222,44400,6
223,44600,6
224,44800,6
225,45000,6
226,45200,6
227,45400,6
228,45600,6
228,45600,6
229,45800,6
231,46200,6
232,46400,6
232,46400,6
233,46600,6
234,46800,5
235,47000,5
237,47400,6
238,47600,5
238,47600,5
239,47800,5
240,48000,5
242,48400,5
243,48600,5
243,48600,5
244,48800,5
245,49000,5
247,49400,6
248,49600,6
249,49800,6
250,50000,6
250,50000,5
