n_iter,n_evals,max_enemies_beaten
0,0,3
0,0,4
1,200,3
2,400,3
3,600,4
4,800,3
5,1000,4
7,1400,4
7,1400,4
8,1600,4
10,2000,4
10,2000,5
12,2400,4
12,2400,4
14,2800,4
14,2800,4
15,3000,4
16,3200,5
17,3400,4
19,3800,4
19,3800,4
21,4200,5
21,4200,5
22,4400,5
23,4600,5
24,4800,5
25,5000,5
27,5400,5
28,5600,5
29,5800,5
30,6000,5
30,6000,5
32,6400,5
33,6600,6
34,6800,6
35,7000,6
36,7200,6
37,7400,6
37,7400,6
38,7600,6
40,8000,5
41,8200,5
41,8200,5
42,8400,7
44,8800,7
45,9000,7
46,9200,7
47,9400,7
48,9600,7
49,9800,7
49,9800,7
51,10200,7
52,10400,7
53,10600,7
54,10800,7
54,10800,7
55,11000,6
56,11200,6
58,11600,6
59,11800,7
60,12000,7
60,12000,6
62,12400,7
63,12600,7
63,12600,7
65,13000,6
65,13000,6
66,13200,6
67,13400,6
68,13600,6
70,14000,6
71,14200,6
71,14200,6
72,14400,5
73,14600,6
74,14800,6
76,15200,5
77,15400,5
78,15600,5
78,15600,5
79,15800,5
80,16000,5
81,16200,6
82,16400,6
84,16800,6
85,17000,6
85,17000,6
87,17400,6
88,17600,6
88,17600,6
89,17800,6
91,18200,6
92,18400,6
92,18400,6
93,18600,6
95,19000,6
96,19200,6
96,19200,6
98,19600,6
98,19600,6
99,19800,6
100,20000,7
102,20400,6
103,20600,6
103,20600,6
104,20800,6
105,21000,6
107,21400,6
107,21400,6
108,21600,6
110,22000,6
110,22000,6
111,22200,6
112,22400,7
114,22800,6
114,22800,6
115,23000,7
116,23200,7
118,23600,7
118,23600,7
119,23800,6
120,24000,6
121,24200,6
122,24400,6
123,24600,6
124,24800,6
125,25000,6
126,25200,6
127,25400,6
128,25600,7
129,25800,6
130,26000,6
131,26200,6
132,26400,7
133,26600,6
134,26800,6
135,27000,7
136,27200,7
137,27400,7
139,27800,7
139,27800,7
140,28000,7
141,28200,7
142,28400,7
143,28600,8
144,28800,6
145,29000,6
146,29200,6
148,29600,7
148,29600,7
149,29800,7
150,30000,6
151,30200,6
152,30400,6
153,30600,7
154,30800,6
155,31000,7
157,31400,7
157,31400,7
158,31600,7
159,31800,7
160,32000,7
161,32200,6
163,32600,6
163,32600,6
164,32800,7
165,33000,7
166,33200,7
168,33600,7
168,33600,7
170,34000,7
170,34000,6
171,34200,6
172,34400,6
173,34600,6
175,35000,6
176,35200,7
176,35200,6
177,35400,6
179,35800,6
180,36000,6
180,36000,6
181,36200,7
182,36400,7
184,36800,6
185,37000,7
185,37000,8
187,37400,7
188,37600,7
188,37600,7
190,38000,7
190,38000,6
191,38200,7
192,38400,7
193,38600,7
195,39000,7
195,39000,7
196,39200,8
198,39600,8
199,39800,8
200,40000,8
200,40000,7
201,40200,7
202,40400,8
204,40800,7
204,40800,8
206,41200,7
206,41200,7
208,41600,7
208,41600,8
209,41800,8
210,42000,7
211,42200,6
212,42400,7
213,42600,7
214,42800,7
215,43000,7
216,43200,7
217,43400,7
219,43800,7
219,43800,6
221,44200,7
221,44200,7
222,44400,6
224,44800,7
225,45000,7
225,45000,7
226,45200,6
227,45400,6
229,45800,8
230,46000,8
231,46200,8
231,46200,8
232,46400,8
233,46600,8
234,46800,8
235,47000,7
237,47400,7
238,47600,7
238,47600,7
239,47800,7
240,48000,6
241,48200,7
242,48400,7
244,48800,7
245,49000,7
245,49000,7
246,49200,8
247,49400,7
248,49600,7
250,50000,7
250,50000,7
