n_iter,n_evals,max_enemies_beaten
0,0,3
1,200,4
1,200,4
3,600,4
3,600,3
4,800,3
5,1000,3
6,1200,3
7,1400,4
9,1800,4
9,1800,4
11,2200,4
11,2200,4
13,2600,4
13,2600,5
14,2800,5
16,3200,5
16,3200,5
17,3400,5
18,3600,6
20,4000,5
20,4000,5
22,4400,6
22,4400,7
23,4600,6
24,4800,6
26,5200,6
27,5400,6
27,5400,6
29,5800,6
30,6000,6
31,6200,6
32,6400,6
33,6600,6
34,6800,6
35,7000,6
36,7200,6
37,7400,6
37,7400,6
39,7800,6
40,8000,6
40,8000,6
41,8200,5
42,8400,6
43,8600,6
45,9000,6
46,9200,6
47,9400,6
47,9400,7
48,9600,6
50,10000,6
51,10200,6
52,10400,6
53,10600,6
53,10600,6
55,11000,6
56,11200,6
56,11200,6
57,11400,6
58,11600,6
60,12000,6
61,12200,6
62,12400,6
62,12400,6
64,12800,6
65,13000,6
65,13000,6
67,13400,6
68,13600,6
69,13800,6
69,13800,6
70,14000,6
71,14200,6
73,14600,6
74,14800,6
75,15000,6
75,15000,6
76,15200,6
77,15400,5
78,15600,6
79,15800,6
81,16200,6
81,16200,6
82,16400,6
83,16600,6
84,16800,6
85,17000,5
86,17200,6
88,17600,6
89,17800,6
89,17800,6
90,18000,6
91,18200,6
93,18600,6
93,18600,6
94,18800,5
95,19000,6
97,19400,6
98,19600,6
98,19600,6
100,20000,6
101,20200,6
101,20200,6
102,20400,6
103,20600,6
104,20800,6
105,21000,6
107,21400,6
108,21600,6
108,21600,7
109,21800,6
111,22200,6
111,22200,6
112,22400,6
114,22800,6
115,23000,6
115,23000,6
116,23200,6
118,23600,6
118,23600,6
120,24000,6
120,24000,6
121,24200,6
123,24600,6
124,24800,6
124,24800,6
125,25000,6
127,25400,6
128,25600,6
129,25800,6
130,26000,6
131,26200,6
132,26400,6
132,26400,7
134,26800,7
134,26800,7
136,27200,7
137,27400,6
137,27400,6
138,27600,7
140,28000,6
141,28200,7
142,28400,7
143,28600,7
144,28800,7
145,29000,7
146,29200,7
146,29200,6
148,29600,6
149,29800,6
149,29800,8
150,30000,8
151,30200,8
152,30400,7
154,30800,7
155,31000,7
156,31200,7
157,31400,7
158,31600,7
158,31600,8
160,32000,7
160,32000,7
161,32200,7
162,32400,7
164,32800,7
165,33000,7
165,33000,7
167,33400,8
168,33600,8
169,33800,8
170,34000,8
171,34200,8
171,34200,6
172,34400,7
173,34600,7
175,35000,8
176,35200,8
177,35400,8
178,35600,8
179,35800,8
180,36000,7
181,36200,7
181,36200,7
183,36600,7
183,36600,7
184,36800,6
185,37000,6
187,37400,7
188,37600,7
188,37600,6
189,37800,6
190,38000,6
192,38400,6
193,38600,6
194,38800,6
195,39000,6
196,39200,7
197,39400,7
198,39600,7
199,39800,7
200,40000,7
200,40000,7
202,40400,7
202,40400,8
203,40600,8
205,41000,8
206,41200,8
207,41400,8
208,41600,8
209,41800,7
209,41800,7
210,42000,7
212,42400,7
212,42400,7
213,42600,7
214,42800,7
216,43200,7
216,43200,7
218,43600,7
219,43800,7
220,44000,7
220,44000,7
221,44200,8
222,44400,7
224,44800,7
224,44800,7
225,45000,7
226,45200,8
227,45400,7
229,45800,8
230,46000,8
231,46200,8
232,46400,8
233,46600,7
234,46800,7
235,47000,7
236,47200,6
237,47400,6
238,47600,8
239,47800,8
240,48000,8
241,48200,8
242,48400,8
243,48600,8
244,48800,8
245,49000,8
246,49200,8
247,49400,8
248,49600,8
249,49800,8
249,49800,8
250,50000,6
