n_iter,n_evals,max_enemies_beaten
0,0,3
1,200,3
1,200,3
3,600,3
4,800,3
5,1000,3
5,1000,4
6,1200,4
8,1600,4
9,1800,4
9,1800,4
10,2000,4
11,2200,5
12,2400,4
13,2600,5
15,3000,4
15,3000,4
16,3200,5
18,3600,5
18,3600,5
20,4000,5
20,4000,5
22,4400,5
23,4600,5
24,4800,5
25,5000,5
25,5000,5
27,5400,5
28,5600,5
29,5800,5
29,5800,5
30,6000,5
31,6200,5
32,6400,4
34,6800,4
35,7000,4
36,7200,4
37,7400,5
38,7600,5
39,7800,5
40,8000,5
41,8200,5
42,8400,5
42,8400,5
44,8800,5
44,8800,5
46,9200,5
47,9400,5
48,9600,5
49,9800,5
50,10000,5
51,10200,5
51,10200,4
52,10400,5
54,10800,5
54,10800,5
56,11200,5
57,11400,5
57,11400,5
58,11600,5
60,12000,5
61,12200,5
62,12400,5
62,12400,5
63,12600,5
64,12800,5
65,13000,6
66,13200,6
67,13400,5
69,13800,5
69,13800,5
71,14200,6
72,14400,6
73,14600,6
74,14800,6
75,15000,6
76,15200,6
77,15400,6
78,15600,6
78,15600,6
79,15800,6
80,16000,6
82,16400,6
82,16400,5
83,16600,6
84,16800,5
85,17000,5
86,17200,6
87,17400,5
88,17600,5
89,17800,7
91,18200,6
91,18200,6
92,18400,6
94,18800,6
95,19000,6
96,19200,6
97,19400,6
97,19400,6
98,19600,6
99,19800,5
100,20000,5
101,20200,5
103,20600,5
103,20600,5
105,21000,5
105,21000,5
107,21400,5
107,21400,5
108,21600,6
109,21800,5
110,22000,5
111,22200,5
113,22600,5
113,22600,7
115,23000,6
116,23200,6
117,23400,6
118,23600,6
118,23600,6
120,24000,6
120,24000,6
121,24200,5
122,24400,5
123,24600,6
124,24800,5
125,25000,7
126,25200,6
127,25400,5
128,25600,5
130,26000,7
131,26200,7
131,26200,5
132,26400,6
133,26600,6
134,26800,6
136,27200,6
136,27200,6
138,27600,6
138,27600,6
140,28000,6
140,28000,6
142,28400,6
142,28400,6
144,28800,6
145,29000,6
145,29000,6
146,29200,6
147,29400,5
148,29600,6
150,30000,6
150,30000,6
151,30200,5
152,30400,5
153,30600,5
154,30800,5
155,31000,7
157,31400,7
158,31600,7
158,31600,7
160,32000,7
161,32200,7
161,32200,6
163,32600,6
164,32800,6
164,32800,7
166,33200,6
167,33400,6
167,33400,6
168,33600,6
169,33800,6
170,34000,7
172,34400,6
173,34600,6
173,34600,6
174,34800,6
175,35000,6
177,35400,6
177,35400,7
179,35800,7
180,36000,7
181,36200,7
182,36400,7
183,36600,7
184,36800,7
185,37000,7
186,37200,7
187,37400,7
188,37600,7
188,37600,7
189,37800,7
190,38000,7
192,38400,7
193,38600,8
194,38800,8
194,38800,8
196,39200,8
197,39400,8
197,39400,8
199,39800,7
199,39800,8
201,40200,7
202,40400,7
203,40600,7
204,40800,7
205,41000,7
205,41000,7
207,41400,7
207,41400,7
208,41600,7
209,41800,6
210,42000,7
211,42200,6
213,42600,6
213,42600,6
214,42800,6
215,43000,6
216,43200,6
217,43400,7
219,43800,7
220,44000,7
221,44200,7
221,44200,6
222,44400,6
223,44600,7
225,45000,7
225,45000,6
226,45200,6
227,45400,6
229,45800,7
230,46000,7
231,46200,7
231,46200,7
233,46600,7
233,46600,7
234,46800,7
235,47000,6
236,47200,8
237,47400,7
238,47600,7
239,47800,7
241,48200,7
241,48200,7
243,48600,7
244,48800,7
244,48800,7
246,49200,7
246,49200,7
247,49400,7
249,49800,7
250,50000,7
250,50000,7
