n_iter,n_evals,max_enemies_beaten
0,0,4
1,200,4
2,400,4
3,600,4
4,800,4
5,1000,4
6,1200,4
7,1400,4
8,1600,4
9,1800,4
10,2000,4
11,2200,4
12,2400,4
13,2600,4
14,2800,4
15,3000,4
16,3200,4
17,3400,4
17,3400,4
19,3800,4
20,4000,4
21,4200,4
22,4400,4
23,4600,4
24,4800,4
25,5000,4
25,5000,4
26,5200,4
27,5400,4
28,5600,4
29,5800,4
30,6000,4
31,6200,4
32,6400,4
33,6600,4
35,7000,4
35,7000,4
36,7200,4
38,7600,4
38,7600,4
40,8000,4
41,8200,4
41,8200,5
43,8600,4
43,8600,4
44,8800,4
46,9200,4
47,9400,4
48,9600,4
49,9800,4
50,10000,4
51,10200,4
52,10400,4
52,10400,4
53,10600,4
54,10800,4
56,11200,4
56,11200,4
58,11600,4
59,11800,4
59,11800,3
60,12000,3
62,12400,4
63,12600,4
63,12600,4
65,13000,4
66,13200,4
66,13200,4
67,13400,4
69,13800,4
69,13800,4
70,14000,4
71,14200,4
73,14600,4
74,14800,4
74,14800,4
75,15000,4
76,15200,4
77,15400,4
78,15600,4
79,15800,4
80,16000,4
81,16200,4
82,16400,4
83,16600,4
84,16800,4
86,17200,4
86,17200,4
87,17400,5
89,17800,4
89,17800,4
90,18000,4
91,18200,4
92,18400,3
93,18600,4
94,18800,4
96,19200,4
97,19400,4
97,19400,4
99,19800,4
99,19800,4
101,20200,4
102,20400,4
102,20400,5
104,20800,4
104,20800,4
106,21200,4
106,21200,4
107,21400,4
109,21800,4
109,21800,4
111,22200,4
111,22200,4
112,22400,4
113,22600,4
114,22800,4
115,23000,4
117,23400,4
118,23600,4
118,23600,4
119,23800,4
120,24000,4
121,24200,4
123,24600,4
124,24800,4
124,24800,4
125,25000,4
127,25400,4
127,25400,4
128,25600,4
129,25800,4
130,26000,4
131,26200,4
133,26600,4
133,26600,4
134,26800,4
135,27000,4
137,27400,4
138,27600,4
138,27600,4
139,27800,4
140,28000,4
142,28400,4
142,28400,5
143,28600,4
144,28800,4
145,29000,5
146,29200,4
147,29400,4
148,29600,4
150,30000,5
150,30000,4
152,30400,4
152,30400,4
154,30800,4
154,30800,4
155,31000,4
156,31200,4
158,31600,4
158,31600,4
159,31800,5
161,32200,4
161,32200,4
162,32400,4
163,32600,4
164,32800,4
165,33000,4
167,33400,4
168,33600,4
168,33600,4
169,33800,4
170,34000,4
171,34200,4
172,34400,4
173,34600,4
174,34800,4
176,35200,4
176,35200,4
177,35400,4
179,35800,5
180,36000,5
181,36200,5
181,36200,5
183,36600,4
183,36600,4
184,36800,4
185,37000,4
187,37400,4
187,37400,5
188,37600,5
189,37800,4
190,38000,4
191,38200,4
192,38400,5
193,38600,4
194,38800,4
195,39000,4
196,39200,5
197,39400,5
199,39800,5
199,39800,5
201,40200,5
201,40200,4
202,40400,4
203,40600,5
204,40800,5
206,41200,5
206,41200,5
208,41600,5
209,41800,5
209,41800,5
210,42000,5
212,42400,5
213,42600,5
214,42800,5
215,43000,5
216,43200,5
216,43200,5
218,43600,5
219,43800,5
219,43800,5
220,44000,5
222,44400,5
223,44600,5
224,44800,5
224,44800,5
225,45000,4
226,45200,4
227,45400,4
229,45800,4
229,45800,4
230,46000,4
231,46200,5
232,46400,5
234,46800,5
234,46800,5
236,47200,5
237,47400,5
237,47400,5
238,47600,5
239,47800,4
240,48000,4
242,48400,5
242,48400,5
243,48600,5
244,48800,5
245,49000,5
246,49200,5
248,49600,5
248,49600,4
249,49800,5
250,50000,5
