n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,4
2,400,3
3,600,3
4,800,4
5,1000,4
6,1200,4
7,1400,4
7,1400,3
8,1600,4
9,1800,4
11,2200,4
12,2400,4
13,2600,4
14,2800,4
15,3000,4
15,3000,4
17,3400,5
18,3600,4
19,3800,4
19,3800,4
21,4200,5
22,4400,5
23,4600,5
24,4800,5
24,4800,4
26,5200,4
26,5200,5
27,5400,4
29,5800,4
30,6000,5
31,6200,5
32,6400,5
33,6600,4
34,6800,5
35,7000,5
36,7200,5
37,7400,5
38,7600,5
39,7800,5
40,8000,5
41,8200,5
42,8400,5
43,8600,5
44,8800,5
45,9000,5
46,9200,5
47,9400,5
48,9600,5
49,9800,5
49,9800,5
51,10200,5
52,10400,5
53,10600,5
53,10600,5
54,10800,5
55,11000,5
56,11200,5
57,11400,5
59,11800,5
60,12000,5
60,12000,5
62,12400,5
62,12400,5
64,12800,5
64,12800,5
66,13200,5
67,13400,5
68,13600,5
69,13800,6
69,13800,5
71,14200,5
71,14200,5
72,14400,5
73,14600,5
75,15000,5
76,15200,5
77,15400,5
77,15400,5
78,15600,5
79,15800,5
80,16000,5
81,16200,5
83,16600,5
84,16800,5
85,17000,5
86,17200,5
87,17400,5
88,17600,5
89,17800,5
89,17800,5
90,18000,5
91,18200,5
93,18600,5
94,18800,5
94,18800,5
95,19000,5
96,19200,5
97,19400,5
99,19800,5
99,19800,5
100,20000,5
102,20400,5
102,20400,5
103,20600,5
104,20800,5
106,21200,5
106,21200,6
107,21400,5
109,21800,5
109,21800,5
110,22000,5
112,22400,5
113,22600,5
114,22800,5
114,22800,5
115,23000,5
117,23400,6
118,23600,6
118,23600,5
119,23800,5
120,24000,5
121,24200,5
122,24400,5
123,24600,5
125,25000,5
126,25200,5
126,25200,6
127,25400,6
129,25800,5
129,25800,5
131,26200,5
132,26400,5
132,26400,5
134,26800,5
135,27000,5
135,27000,5
137,27400,5
137,27400,5
138,27600,5
139,27800,5
140,28000,5
141,28200,5
142,28400,6
143,28600,5
144,28800,5
145,29000,5
146,29200,5
148,29600,5
149,29800,5
149,29800,6
150,30000,6
151,30200,6
152,30400,6
154,30800,5
154,30800,5
156,31200,5
157,31400,5
158,31600,6
158,31600,5
159,31800,5
161,32200,5
161,32200,5
162,32400,5
164,32800,5
165,33000,5
166,33200,5
166,33200,5
167,33400,5
168,33600,5
170,34000,5
171,34200,5
172,34400,5
172,34400,5
174,34800,6
174,34800,5
176,35200,5
176,35200,5
178,35600,5
179,35800,5
180,36000,5
180,36000,5
181,36200,5
182,36400,5
184,36800,5
185,37000,5
185,37000,5
186,37200,5
188,37600,5
189,37800,5
189,37800,5
191,38200,5
191,38200,5
192,38400,5
194,38800,5
194,38800,5
195,39000,5
197,39400,5
197,39400,5
199,39800,5
199,39800,5
201,40200,5
202,40400,5
202,40400,6
203,40600,5
205,41000,5
205,41000,5
206,41200,5
207,41400,5
208,41600,5
209,41800,5
210,42000,5
212,42400,5
213,42600,5
213,42600,5
215,43000,5
215,43000,5
217,43400,5
218,43600,5
219,43800,5
219,43800,5
220,44000,5
221,44200,5
222,44400,5
224,44800,5
224,44800,5
226,45200,5
227,45400,5
227,45400,5
229,45800,5
229,45800,5
230,46000,5
231,46200,6
233,46600,6
234,46800,6
235,47000,6
236,47200,6
236,47200,6
237,47400,5
239,47800,5
239,47800,5
241,48200,5
242,48400,5
243,48600,5
244,48800,5
245,49000,5
245,49000,5
247,49400,5
248,49600,6
248,49600,6
250,50000,5
250,50000,3
