n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,3
1,200,4
3,600,4
3,600,4
4,800,4
5,1000,4
7,1400,4
8,1600,4
9,1800,4
10,2000,4
11,2200,4
12,2400,4
13,2600,4
14,2800,4
15,3000,4
16,3200,4
16,3200,4
18,3600,4
19,3800,4
20,4000,4
20,4000,4
21,4200,4
23,4600,4
23,4600,4
24,4800,4
25,5000,4
26,5200,4
28,5600,4
28,5600,4
30,6000,4
31,6200,4
31,6200,4
32,6400,4
33,6600,4
34,6800,3
35,7000,3
36,7200,3
37,7400,4
38,7600,4
40,8000,4
40,8000,4
41,8200,4
42,8400,4
43,8600,4
44,8800,4
45,9000,4
46,9200,3
47,9400,4
48,9600,3
49,9800,4
50,10000,4
51,10200,4
52,10400,4
54,10800,4
54,10800,4
55,11000,4
56,11200,4
57,11400,4
59,11800,4
59,11800,4
60,12000,4
61,12200,4
62,12400,4
63,12600,3
65,13000,4
66,13200,4
66,13200,4
68,13600,4
69,13800,4
69,13800,4
70,14000,4
71,14200,4
72,14400,4
74,14800,4
75,15000,4
75,15000,3
76,15200,3
78,15600,4
79,15800,4
80,16000,4
80,16000,4
81,16200,4
83,16600,4
84,16800,4
85,17000,4
86,17200,4
86,17200,4
88,17600,4
88,17600,4
90,18000,4
91,18200,4
91,18200,4
92,18400,4
93,18600,4
94,18800,3
95,19000,4
96,19200,5
98,19600,4
99,19800,4
100,20000,4
101,20200,4
101,20200,4
103,20600,4
104,20800,4
105,21000,5
106,21200,5
106,21200,5
108,21600,5
109,21800,5
110,22000,5
111,22200,5
111,22200,5
113,22600,5
114,22800,5
115,23000,5
115,23000,4
116,23200,4
118,23600,4
118,23600,4
119,23800,5
121,24200,5
122,24400,5
123,24600,5
124,24800,5
125,25000,5
126,25200,5
127,25400,5
127,25400,4
128,25600,4
129,25800,4
131,26200,4
132,26400,4
132,26400,4
133,26600,4
134,26800,4
135,27000,4
136,27200,4
137,27400,5
138,27600,4
139,27800,4
140,28000,4
141,28200,4
142,28400,4
143,28600,4
145,29000,4
145,29000,5
146,29200,5
147,29400,4
149,29800,4
149,29800,5
150,30000,4
151,30200,5
152,30400,5
153,30600,4
154,30800,4
155,31000,4
156,31200,4
157,31400,4
158,31600,5
160,32000,5
161,32200,5
162,32400,5
163,32600,5
164,32800,5
165,33000,5
166,33200,4
166,33200,4
167,33400,4
168,33600,4
169,33800,4
170,34000,4
171,34200,4
173,34600,4
173,34600,4
174,34800,5
175,35000,5
176,35200,4
177,35400,4
178,35600,4
179,35800,4
181,36200,4
181,36200,4
182,36400,5
184,36800,5
185,37000,5
186,37200,5
187,37400,5
188,37600,5
189,37800,5
190,38000,5
191,38200,5
192,38400,5
192,38400,5
194,38800,5
195,39000,5
196,39200,5
197,39400,5
197,39400,4
198,39600,4
199,39800,4
201,40200,4
201,40200,5
202,40400,4
203,40600,4
204,40800,4
206,41200,4
206,41200,4
207,41400,5
208,41600,4
210,42000,4
210,42000,4
211,42200,4
213,42600,4
214,42800,4
214,42800,4
215,43000,4
217,43400,4
218,43600,5
218,43600,5
219,43800,4
220,44000,4
221,44200,4
223,44600,4
224,44800,4
225,45000,4
226,45200,4
227,45400,6
227,45400,6
228,45600,4
229,45800,4
230,46000,3
231,46200,3
232,46400,4
233,46600,5
234,46800,3
236,47200,4
237,47400,4
237,47400,4
238,47600,4
239,47800,4
241,48200,4
241,48200,4
242,48400,4
243,48600,4
245,49000,4
246,49200,4
247,49400,4
247,49400,5
248,49600,4
249,49800,4
250,50000,6
