n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,3
1,200,2
2,400,2
3,600,3
4,800,3
5,1000,3
7,1400,3
7,1400,3
9,1800,3
9,1800,3
11,2200,3
11,2200,3
12,2400,3
14,2800,3
15,3000,3
16,3200,3
17,3400,3
17,3400,4
19,3800,4
19,3800,4
20,4000,3
21,4200,3
22,4400,3
23,4600,4
24,4800,3
25,5000,3
26,5200,3
27,5400,3
29,5800,4
30,6000,3
31,6200,3
31,6200,3
32,6400,3
33,6600,3
34,6800,3
35,7000,3
36,7200,4
37,7400,3
38,7600,3
40,8000,3
40,8000,3
41,8200,3
42,8400,3
43,8600,3
44,8800,5
45,9000,4
46,9200,4
47,9400,4
48,9600,4
50,10000,4
51,10200,5
52,10400,5
53,10600,5
53,10600,5
55,11000,5
56,11200,5
57,11400,5
58,11600,5
58,11600,5
60,12000,5
60,12000,5
61,12200,5
63,12600,4
63,12600,4
65,13000,4
66,13200,5
66,13200,5
67,13400,5
69,13800,5
70,14000,4
70,14000,4
72,14400,4
72,14400,4
74,14800,4
74,14800,4
75,15000,4
76,15200,4
77,15400,4
78,15600,4
79,15800,4
80,16000,4
81,16200,4
83,16600,4
83,16600,4
84,16800,4
86,17200,5
87,17400,5
88,17600,5
89,17800,5
89,17800,5
90,18000,5
91,18200,4
92,18400,4
94,18800,5
95,19000,5
96,19200,5
97,19400,5
98,19600,5
99,19800,5
99,19800,5
101,20200,5
101,20200,4
102,20400,4
103,20600,4
105,21000,4
105,21000,4
106,21200,5
108,21600,5
109,21800,5
110,22000,5
110,22000,5
111,22200,4
112,22400,5
114,22800,5
114,22800,5
116,23200,5
116,23200,5
118,23600,5
119,23800,5
120,24000,5
120,24000,4
121,24200,4
122,24400,5
124,24800,5
125,25000,5
125,25000,5
127,25400,5
128,25600,4
129,25800,4
129,25800,4
130,26000,4
131,26200,4
132,26400,4
133,26600,4
134,26800,4
135,27000,4
136,27200,5
137,27400,5
139,27800,5
139,27800,5
140,28000,5
141,28200,5
142,28400,4
143,28600,5
144,28800,5
145,29000,5
147,29400,5
148,29600,5
148,29600,5
149,29800,5
150,30000,5
151,30200,5
153,30600,5
153,30600,4
154,30800,5
155,31000,4
156,31200,6
157,31400,5
158,31600,4
159,31800,5
160,32000,5
161,32200,5
162,32400,4
164,32800,5
164,32800,5
166,33200,5
167,33400,5
168,33600,5
168,33600,5
169,33800,5
170,34000,4
171,34200,5
172,34400,4
173,34600,4
174,34800,4
175,35000,4
176,35200,4
178,35600,5
179,35800,5
179,35800,6
181,36200,6
182,36400,6
183,36600,6
184,36800,6
185,37000,6
186,37200,6
186,37200,6
188,37600,5
188,37600,7
189,37800,5
190,38000,5
192,38400,5
193,38600,5
194,38800,5
195,39000,5
196,39200,5
197,39400,5
198,39600,5
198,39600,5
200,40000,5
200,40000,5
202,40400,5
202,40400,5
203,40600,6
204,40800,6
205,41000,6
207,41400,5
207,41400,5
208,41600,5
209,41800,5
211,42200,5
211,42200,5
212,42400,5
213,42600,5
214,42800,5
215,43000,5
216,43200,7
217,43400,5
218,43600,5
219,43800,5
220,44000,5
221,44200,6
222,44400,5
223,44600,6
224,44800,5
225,45000,5
226,45200,5
227,45400,6
228,45600,6
229,45800,6
230,46000,5
231,46200,5
232,46400,6
233,46600,5
235,47000,7
236,47200,7
236,47200,6
237,47400,7
238,47600,7
240,48000,6
240,48000,6
242,48400,6
243,48600,6
243,48600,7
245,49000,6
245,49000,6
246,49200,6
247,49400,6
249,49800,6
249,49800,7
250,50000,6
