n_iter,n_evals,max_enemies_beaten
0,0,2
1,200,3
1,200,3
2,400,4
4,800,3
4,800,3
5,1000,3
6,1200,4
7,1400,4
8,1600,4
10,2000,3
10,2000,3
11,2200,4
12,2400,4
14,2800,4
14,2800,4
15,3000,4
17,3400,4
18,3600,4
19,3800,4
20,4000,4
21,4200,4
21,4200,4
23,4600,3
23,4600,3
24,4800,4
25,5000,3
27,5400,3
28,5600,3
28,5600,3
30,6000,3
31,6200,3
31,6200,3
32,6400,4
33,6600,4
34,6800,4
36,7200,4
37,7400,4
38,7600,4
39,7800,4
39,7800,4
41,8200,4
41,8200,4
43,8600,4
43,8600,4
45,9000,4
45,9000,4
47,9400,4
47,9400,5
48,9600,5
49,9800,4
50,10000,4
51,10200,4
53,10600,4
53,10600,4
54,10800,4
55,11000,4
57,11400,4
57,11400,4
58,11600,4
59,11800,4
61,12200,4
61,12200,4
63,12600,4
64,12800,4
65,13000,4
66,13200,4
66,13200,5
68,13600,4
68,13600,5
69,13800,4
70,14000,4
71,14200,4
72,14400,4
73,14600,5
75,15000,4
76,15200,4
76,15200,5
78,15600,4
78,15600,5
79,15800,4
80,16000,4
81,16200,5
82,16400,4
83,16600,4
84,16800,5
85,17000,5
86,17200,5
87,17400,4
89,17800,4
89,17800,5
90,18000,5
92,18400,5
93,18600,5
93,18600,5
94,18800,5
95,19000,5
96,19200,5
97,19400,5
98,19600,5
99,19800,5
100,20000,4
101,20200,4
103,20600,4
104,20800,4
105,21000,4
105,21000,4
106,21200,5
107,21400,4
109,21800,5
110,22000,5
110,22000,5
111,22200,5
112,22400,4
113,22600,4
114,22800,4
116,23200,6
117,23400,6
118,23600,6
119,23800,6
120,24000,6
121,24200,6
122,24400,6
122,24400,6
124,24800,5
125,25000,5
126,25200,5
127,25400,5
128,25600,5
129,25800,5
129,25800,5
131,26200,5
132,26400,5
133,26600,5
133,26600,5
134,26800,5
135,27000,5
137,27400,5
138,27600,5
138,27600,5
139,27800,6
141,28200,5
142,28400,5
142,28400,5
143,28600,5
144,28800,5
145,29000,5
146,29200,5
148,29600,6
149,29800,6
150,30000,6
150,30000,5
151,30200,6
152,30400,6
154,30800,6
155,31000,6
156,31200,6
157,31400,6
157,31400,5
158,31600,5
159,31800,5
160,32000,6
161,32200,7
162,32400,6
163,32600,5
164,32800,6
165,33000,6
166,33200,6
167,33400,5
168,33600,5
169,33800,5
170,34000,5
171,34200,6
172,34400,5
173,34600,6
174,34800,6
175,35000,5
176,35200,5
177,35400,5
178,35600,5
179,35800,7
180,36000,6
182,36400,6
182,36400,6
183,36600,6
185,37000,6
185,37000,6
186,37200,6
187,37400,6
188,37600,6
189,37800,7
190,38000,6
191,38200,7
193,38600,6
194,38800,6
194,38800,6
195,39000,6
196,39200,7
198,39600,7
198,39600,7
199,39800,6
201,40200,6
201,40200,6
203,40600,6
204,40800,6
205,41000,6
206,41200,6
206,41200,7
208,41600,6
208,41600,7
209,41800,6
211,42200,6
211,42200,6
212,42400,7
213,42600,7
215,43000,6
215,43000,6
216,43200,6
218,43600,6
218,43600,6
220,44000,6
220,44000,5
221,44200,6
222,44400,6
223,44600,6
224,44800,5
226,45200,6
226,45200,6
228,45600,6
228,45600,6
230,46000,6
231,46200,6
231,46200,7
233,46600,6
233,46600,6
234,46800,6
235,47000,6
237,47400,6
237,47400,6
239,47800,6
239,47800,6
240,48000,6
241,48200,6
242,48400,6
244,48800,6
245,49000,6
245,49000,7
246,49200,7
247,49400,6
248,49600,6
249,49800,6
250,50000,7
