n_iter,n_evals,max_enemies_beaten
0,0,3
0,0,4
2,400,5
2,400,5
4,800,5
5,1000,5
6,1200,5
7,1400,5
8,1600,5
8,1600,5
10,2000,4
11,2200,4
12,2400,4
12,2400,4
13,2600,4
14,2800,4
15,3000,4
17,3400,4
18,3600,4
18,3600,4
20,4000,4
20,4000,4
21,4200,4
22,4400,4
24,4800,4
25,5000,4
25,5000,4
26,5200,4
27,5400,4
29,5800,4
30,6000,4
31,6200,4
32,6400,4
32,6400,4
33,6600,5
34,6800,5
35,7000,5
36,7200,5
38,7600,5
39,7800,5
39,7800,5
40,8000,5
42,8400,5
42,8400,5
43,8600,4
44,8800,5
45,9000,5
47,9400,5
47,9400,5
48,9600,6
50,10000,5
51,10200,5
52,10400,5
52,10400,5
53,10600,5
54,10800,5
55,11000,4
57,11400,5
57,11400,5
58,11600,5
60,12000,5
60,12000,5
61,12200,5
63,12600,5
63,12600,5
65,13000,5
66,13200,5
67,13400,5
68,13600,6
69,13800,6
70,14000,6
71,14200,5
71,14200,6
73,14600,5
73,14600,5
74,14800,5
76,15200,5
76,15200,5
77,15400,5
78,15600,5
80,16000,7
81,16200,7
82,16400,7
83,16600,7
84,16800,7
85,17000,7
86,17200,7
87,17400,7
88,17600,7
89,17800,7
90,18000,7
91,18200,7
92,18400,7
92,18400,5
93,18600,5
94,18800,5
96,19200,5
96,19200,5
98,19600,5
99,19800,5
99,19800,5
101,20200,5
102,20400,6
102,20400,5
103,20600,6
104,20800,6
105,21000,5
106,21200,5
107,21400,6
108,21600,7
110,22000,6
110,22000,6
111,22200,5
113,22600,7
114,22800,7
115,23000,7
116,23200,7
117,23400,7
118,23600,7
119,23800,7
120,24000,7
121,24200,7
122,24400,7
123,24600,7
123,24600,7
125,25000,5
126,25200,6
126,25200,6
127,25400,6
128,25600,5
129,25800,5
131,26200,5
131,26200,5
132,26400,6
133,26600,5
134,26800,5
135,27000,5
137,27400,5
137,27400,6
138,27600,6
139,27800,6
141,28200,5
141,28200,5
142,28400,5
143,28600,5
144,28800,6
145,29000,5
146,29200,5
147,29400,5
148,29600,6
149,29800,5
150,30000,5
151,30200,5
152,30400,6
153,30600,6
155,31000,6
155,31000,6
157,31400,6
158,31600,6
158,31600,6
159,31800,6
161,32200,6
162,32400,6
162,32400,6
164,32800,6
165,33000,6
166,33200,6
167,33400,6
168,33600,6
169,33800,6
169,33800,5
170,34000,5
171,34200,6
172,34400,5
174,34800,6
174,34800,6
175,35000,6
176,35200,6
178,35600,5
178,35600,5
180,36000,5
180,36000,6
181,36200,6
182,36400,5
183,36600,5
184,36800,5
185,37000,5
186,37200,5
187,37400,6
188,37600,5
190,38000,5
191,38200,5
191,38200,5
192,38400,5
193,38600,5
194,38800,5
196,39200,6
196,39200,6
198,39600,6
198,39600,6
199,39800,6
201,40200,6
201,40200,6
202,40400,6
204,40800,6
205,41000,6
206,41200,5
207,41400,5
208,41600,5
208,41600,5
209,41800,5
210,42000,5
211,42200,5
212,42400,5
214,42800,5
214,42800,6
215,43000,5
216,43200,5
217,43400,6
218,43600,5
219,43800,6
220,44000,6
221,44200,5
222,44400,5
224,44800,5
224,44800,5
225,45000,6
226,45200,6
227,45400,5
228,45600,5
230,46000,6
230,46000,6
232,46400,6
232,46400,5
233,46600,6
234,46800,6
235,47000,5
236,47200,6
238,47600,6
238,47600,6
240,48000,6
240,48000,6
242,48400,6
243,48600,6
244,48800,6
244,48800,6
245,49000,6
247,49400,6
248,49600,6
248,49600,6
249,49800,6
250,50000,5
