n_iter,n_evals,max_enemies_beaten
0,0,3
0,0,4
2,400,4
3,600,4
4,800,4
5,1000,4
6,1200,4
6,1200,4
8,1600,4
9,1800,4
10,2000,4
11,2200,4
12,2400,4
13,2600,4
14,2800,4
15,3000,4
15,3000,4
17,3400,4
17,3400,4
18,3600,4
20,4000,4
21,4200,4
22,4400,4
22,4400,5
23,4600,4
25,5000,4
26,5200,4
27,5400,5
28,5600,5
29,5800,5
30,6000,5
30,6000,4
31,6200,4
32,6400,4
33,6600,4
34,6800,5
36,7200,5
36,7200,5
37,7400,5
38,7600,5
39,7800,4
41,8200,5
41,8200,5
43,8600,5
44,8800,5
44,8800,5
46,9200,5
47,9400,5
47,9400,4
48,9600,5
50,10000,4
51,10200,4
51,10200,4
53,10600,5
54,10800,5
55,11000,5
56,11200,5
57,11400,5
57,11400,5
58,11600,6
60,12000,5
61,12200,5
62,12400,5
63,12600,5
64,12800,5
64,12800,5
65,13000,5
66,13200,5
67,13400,5
69,13800,5
69,13800,5
71,14200,5
72,14400,5
72,14400,5
74,14800,5
74,14800,5
75,15000,5
76,15200,5
77,15400,5
79,15800,5
80,16000,5
80,16000,5
81,16200,5
83,16600,5
83,16600,5
85,17000,5
85,17000,5
87,17400,5
88,17600,5
89,17800,5
90,18000,5
90,18000,5
92,18400,5
92,18400,4
93,18600,5
94,18800,5
95,19000,4
96,19200,5
97,19400,4
98,19600,4
99,19800,4
100,20000,6
101,20200,4
102,20400,4
103,20600,4
104,20800,4
106,21200,5
106,21200,5
107,21400,4
108,21600,5
109,21800,5
111,22200,5
112,22400,5
112,22400,6
114,22800,5
114,22800,5
115,23000,5
116,23200,4
117,23400,5
118,23600,4
119,23800,4
120,24000,4
121,24200,5
123,24600,5
123,24600,5
125,25000,5
126,25200,5
126,25200,6
128,25600,5
128,25600,5
129,25800,5
130,26000,6
131,26200,5
133,26600,5
133,26600,5
134,26800,6
135,27000,6
137,27400,5
137,27400,6
139,27800,5
140,28000,5
141,28200,5
141,28200,5
142,28400,6
144,28800,5
145,29000,5
145,29000,6
147,29400,5
147,29400,5
148,29600,5
149,29800,5
151,30200,6
152,30400,6
152,30400,6
154,30800,5
154,30800,5
156,31200,6
156,31200,6
157,31400,6
159,31800,5
160,32000,5
160,32000,6
161,32200,5
162,32400,5
163,32600,5
164,32800,5
166,33200,5
166,33200,5
168,33600,5
169,33800,5
169,33800,5
171,34200,5
171,34200,5
173,34600,5
174,34800,5
174,34800,6
176,35200,5
176,35200,6
178,35600,5
179,35800,5
179,35800,6
180,36000,5
181,36200,5
182,36400,5
183,36600,6
185,37000,5
185,37000,5
186,37200,5
188,37600,7
189,37800,7
190,38000,7
191,38200,7
192,38400,7
192,38400,6
194,38800,6
195,39000,6
196,39200,6
197,39400,6
198,39600,6
199,39800,6
199,39800,6
200,40000,6
201,40200,6
202,40400,6
203,40600,5
204,40800,5
206,41200,5
206,41200,6
208,41600,6
209,41800,6
210,42000,6
211,42200,6
211,42200,6
213,42600,6
213,42600,6
215,43000,6
216,43200,6
217,43400,6
217,43400,5
218,43600,5
219,43800,5
221,44200,5
221,44200,5
223,44600,5
223,44600,5
224,44800,5
225,45000,5
226,45200,5
227,45400,5
228,45600,5
229,45800,5
230,46000,5
231,46200,4
232,46400,4
233,46600,5
234,46800,5
236,47200,5
236,47200,6
237,47400,6
239,47800,5
240,48000,6
241,48200,6
242,48400,6
243,48600,6
243,48600,6
244,48800,5
245,49000,5
246,49200,6
248,49600,6
249,49800,6
250,50000,5
250,50000,5
