n_iter,n_evals,max_enemies_beaten
0,0,3
0,0,3
1,200,3
2,400,4
4,800,4
5,1000,4
6,1200,4
7,1400,4
8,1600,4
9,1800,4
9,1800,5
11,2200,4
12,2400,4
12,2400,4
13,2600,4
14,2800,4
15,3000,4
16,3200,4
18,3600,4
18,3600,5
20,4000,4
21,4200,4
22,4400,4
22,4400,4
23,4600,4
24,4800,4
25,5000,4
27,5400,4
28,5600,4
29,5800,4
30,6000,4
31,6200,4
32,6400,4
33,6600,4
33,6600,3
35,7000,3
35,7000,4
36,7200,3
38,7600,3
38,7600,3
39,7800,4
40,8000,3
42,8400,4
43,8600,4
44,8800,4
45,9000,4
45,9000,4
46,9200,4
48,9600,4
49,9800,4
50,10000,4
51,10200,4
52,10400,4
53,10600,4
54,10800,4
54,10800,4
55,11000,4
56,11200,3
57,11400,4
58,11600,3
59,11800,3
60,12000,4
62,12400,4
63,12600,4
63,12600,4
64,12800,4
66,13200,4
66,13200,4
67,13400,4
68,13600,5
70,14000,4
70,14000,4
72,14400,4
72,14400,4
73,14600,5
74,14800,4
75,15000,4
77,15400,4
77,15400,4
78,15600,4
79,15800,4
81,16200,4
81,16200,4
82,16400,4
84,16800,4
84,16800,4
85,17000,4
86,17200,5
87,17400,4
88,17600,4
90,18000,4
91,18200,4
91,18200,4
92,18400,4
93,18600,4
94,18800,4
95,19000,4
96,19200,4
97,19400,5
98,19600,4
99,19800,5
100,20000,4
101,20200,4
102,20400,4
103,20600,4
104,20800,4
105,21000,4
106,21200,4
107,21400,5
108,21600,5
109,21800,5
110,22000,4
111,22200,5
113,22600,5
114,22800,5
114,22800,5
116,23200,5
116,23200,5
118,23600,5
118,23600,5
120,24000,5
120,24000,5
122,24400,5
122,24400,5
124,24800,5
125,25000,5
125,25000,5
127,25400,5
128,25600,5
129,25800,5
129,25800,5
130,26000,5
131,26200,5
133,26600,5
133,26600,4
134,26800,4
135,27000,4
137,27400,5
137,27400,5
139,27800,5
140,28000,5
140,28000,6
141,28200,5
142,28400,5
143,28600,4
145,29000,4
145,29000,4
147,29400,5
148,29600,5
149,29800,5
149,29800,5
151,30200,5
152,30400,5
152,30400,6
153,30600,6
154,30800,4
155,31000,4
157,31400,6
158,31600,6
159,31800,6
160,32000,6
161,32200,6
162,32400,6
163,32600,6
164,32800,6
164,32800,6
166,33200,6
167,33400,6
167,33400,6
168,33600,5
169,33800,5
170,34000,5
172,34400,5
173,34600,5
173,34600,5
175,35000,5
176,35200,5
177,35400,5
178,35600,5
179,35800,5
180,36000,5
181,36200,5
182,36400,5
182,36400,5
183,36600,5
185,37000,5
185,37000,5
187,37400,5
187,37400,5
188,37600,5
189,37800,5
191,38200,5
192,38400,5
193,38600,5
194,38800,5
194,38800,5
195,39000,5
196,39200,5
197,39400,5
198,39600,5
200,40000,5
201,40200,5
201,40200,5
203,40600,4
203,40600,4
204,40800,5
206,41200,4
206,41200,4
207,41400,4
208,41600,5
209,41800,5
210,42000,4
211,42200,4
212,42400,5
213,42600,4
214,42800,4
215,43000,4
216,43200,5
217,43400,4
218,43600,4
219,43800,4
220,44000,4
221,44200,5
222,44400,4
223,44600,5
225,45000,5
225,45000,5
227,45400,5
228,45600,5
228,45600,5
230,46000,5
231,46200,5
232,46400,5
233,46600,5
234,46800,5
235,47000,5
236,47200,5
237,47400,5
238,47600,5
238,47600,5
240,48000,5
241,48200,6
242,48400,6
242,48400,5
243,48600,5
244,48800,5
245,49000,5
247,49400,5
247,49400,5
249,49800,5
249,49800,4
250,50000,4
