n_iter,n_evals,max_enemies_beaten
0,0,3
0,0,4
1,200,3
2,400,3
3,600,3
5,1000,3
6,1200,3
6,1200,4
8,1600,4
8,1600,5
10,2000,4
11,2200,4
11,2200,4
12,2400,4
13,2600,4
14,2800,4
15,3000,4
17,3400,5
17,3400,5
18,3600,4
20,4000,5
20,4000,4
21,4200,4
22,4400,4
23,4600,5
24,4800,4
25,5000,5
27,5400,5
28,5600,5
29,5800,5
29,5800,5
31,6200,5
32,6400,5
32,6400,5
33,6600,5
34,6800,5
35,7000,5
36,7200,5
38,7600,5
38,7600,5
40,8000,5
40,8000,5
42,8400,5
42,8400,5
43,8600,5
45,9000,5
46,9200,5
47,9400,6
48,9600,6
49,9800,6
50,10000,6
51,10200,6
52,10400,6
52,10400,6
54,10800,6
55,11000,6
56,11200,6
57,11400,6
58,11600,6
59,11800,6
59,11800,5
60,12000,5
61,12200,5
62,12400,5
64,12800,5
64,12800,6
65,13000,5
66,13200,5
67,13400,5
68,13600,6
69,13800,5
70,14000,5
71,14200,5
72,14400,5
73,14600,5
75,15000,5
76,15200,5
76,15200,5
77,15400,5
78,15600,5
79,15800,5
80,16000,5
81,16200,5
82,16400,5
83,16600,6
84,16800,6
85,17000,5
86,17200,5
87,17400,5
88,17600,6
89,17800,5
90,18000,6
91,18200,5
93,18600,6
93,18600,5
94,18800,6
95,19000,5
96,19200,5
97,19400,5
98,19600,5
99,19800,5
100,20000,5
102,20400,6
103,20600,6
103,20600,6
104,20800,6
105,21000,6
106,21200,6
107,21400,6
108,21600,6
110,22000,6
110,22000,6
112,22400,6
112,22400,6
114,22800,6
115,23000,6
116,23200,6
117,23400,6
118,23600,6
119,23800,6
120,24000,6
120,24000,6
121,24200,6
123,24600,5
123,24600,6
124,24800,6
125,25000,6
126,25200,6
127,25400,6
128,25600,6
130,26000,6
131,26200,6
131,26200,6
132,26400,5
133,26600,5
134,26800,5
135,27000,5
136,27200,5
137,27400,6
138,27600,5
139,27800,6
140,28000,5
141,28200,5
142,28400,5
143,28600,5
144,28800,5
145,29000,5
146,29200,5
147,29400,6
149,29800,6
150,30000,6
150,30000,6
151,30200,6
152,30400,5
153,30600,6
154,30800,7
155,31000,6
157,31400,6
157,31400,6
159,31800,6
160,32000,6
161,32200,6
161,32200,6
162,32400,6
163,32600,5
164,32800,5
165,33000,5
166,33200,5
167,33400,5
168,33600,5
169,33800,5
170,34000,5
171,34200,6
172,34400,6
173,34600,6
174,34800,6
176,35200,6
177,35400,6
177,35400,6
178,35600,6
180,36000,6
181,36200,6
182,36400,6
183,36600,6
184,36800,6
184,36800,6
186,37200,6
187,37400,6
187,37400,6
189,37800,6
190,38000,6
190,38000,5
191,38200,6
192,38400,6
194,38800,6
195,39000,6
195,39000,6
196,39200,7
197,39400,6
198,39600,6
200,40000,6
200,40000,6
202,40400,6
202,40400,6
203,40600,6
204,40800,5
205,41000,5
206,41200,6
207,41400,5
208,41600,6
209,41800,7
211,42200,6
211,42200,6
212,42400,6
213,42600,6
215,43000,6
215,43000,6
217,43400,6
218,43600,6
219,43800,6
219,43800,6
221,44200,6
222,44400,6
223,44600,6
224,44800,6
224,44800,7
226,45200,6
227,45400,6
227,45400,6
228,45600,6
229,45800,6
230,46000,6
231,46200,6
232,46400,6
233,46600,6
235,47000,6
236,47200,6
236,47200,6
238,47600,6
239,47800,6
239,47800,6
241,48200,6
241,48200,6
242,48400,6
244,48800,6
245,49000,6
245,49000,7
246,49200,5
247,49400,5
248,49600,6
249,49800,5
250,50000,6
