n_iter,n_evals,max_enemies_beaten
0,0,3
1,200,3
1,200,3
3,600,3
3,600,5
5,1000,5
6,1200,5
7,1400,5
8,1600,5
9,1800,5
10,2000,5
11,2200,5
12,2400,5
12,2400,5
14,2800,4
15,3000,4
15,3000,4
16,3200,4
17,3400,4
18,3600,4
20,4000,4
21,4200,4
22,4400,4
22,4400,4
24,4800,4
24,4800,5
26,5200,4
27,5400,5
28,5600,5
29,5800,5
30,6000,5
31,6200,4
32,6400,4
33,6600,4
33,6600,4
35,7000,4
36,7200,4
36,7200,4
37,7400,5
39,7800,4
40,8000,4
40,8000,4
41,8200,4
43,8600,4
44,8800,4
45,9000,4
46,9200,4
47,9400,4
47,9400,4
48,9600,4
49,9800,3
51,10200,4
51,10200,4
52,10400,4
54,10800,4
54,10800,4
56,11200,4
57,11400,4
57,11400,4
58,11600,4
59,11800,3
60,12000,4
61,12200,4
62,12400,3
63,12600,3
65,13000,4
65,13000,4
66,13200,4
67,13400,3
69,13800,4
70,14000,4
71,14200,4
72,14400,5
73,14600,4
74,14800,4
75,15000,4
75,15000,4
77,15400,4
78,15600,5
79,15800,5
80,16000,5
81,16200,5
82,16400,5
83,16600,4
84,16800,4
85,17000,4
86,17200,4
87,17400,4
87,17400,4
88,17600,4
90,18000,4
90,18000,4
92,18400,5
93,18600,4
94,18800,4
94,18800,4
96,19200,4
96,19200,4
97,19400,4
98,19600,4
100,20000,4
100,20000,4
102,20400,4
102,20400,4
103,20600,4
105,21000,5
105,21000,5
107,21400,5
108,21600,5
109,21800,5
110,22000,5
111,22200,5
111,22200,5
112,22400,5
113,22600,4
115,23000,4
115,23000,5
117,23400,5
118,23600,5
119,23800,4
120,24000,4
120,24000,5
121,24200,5
123,24600,5
123,24600,5
124,24800,5
126,25200,5
127,25400,5
128,25600,5
128,25600,5
129,25800,5
131,26200,5
132,26400,5
133,26600,5
134,26800,5
134,26800,5
136,27200,5
137,27400,5
138,27600,5
139,27800,5
139,27800,5
141,28200,5
142,28400,5
143,28600,5
144,28800,5
144,28800,5
146,29200,5
147,29400,5
148,29600,5
148,29600,4
149,29800,4
150,30000,5
152,30400,4
152,30400,4
153,30600,4
154,30800,4
156,31200,4
156,31200,5
157,31400,5
159,31800,4
159,31800,5
161,32200,4
161,32200,4
163,32600,4
164,32800,5
165,33000,5
165,33000,5
166,33200,5
168,33600,5
169,33800,5
170,34000,5
171,34200,4
172,34400,4
173,34600,4
173,34600,4
174,34800,4
175,35000,5
176,35200,4
177,35400,4
179,35800,5
179,35800,5
181,36200,5
182,36400,5
183,36600,5
184,36800,5
185,37000,5
186,37200,4
186,37200,4
188,37600,4
188,37600,5
189,37800,4
191,38200,4
192,38400,4
192,38400,4
193,38600,4
194,38800,4
195,39000,4
196,39200,4
197,39400,4
198,39600,4
199,39800,4
200,40000,4
201,40200,4
203,40600,4
204,40800,4
205,41000,4
205,41000,4
206,41200,4
207,41400,4
208,41600,4
209,41800,4
210,42000,4
211,42200,4
212,42400,4
213,42600,5
214,42800,4
215,43000,4
216,43200,4
217,43400,4
219,43800,4
220,44000,4
220,44000,4
221,44200,4
222,44400,4
223,44600,4
225,45000,4
226,45200,4
226,45200,5
227,45400,5
228,45600,4
230,46000,4
230,46000,4
232,46400,4
233,46600,5
233,46600,5
234,46800,4
235,47000,5
237,47400,5
238,47600,5
239,47800,5
239,47800,5
241,48200,5
241,48200,5
243,48600,5
244,48800,5
244,48800,5
245,49000,5
247,49400,5
248,49600,5
249,49800,5
249,49800,4
250,50000,4
