n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,3
2,400,4
3,600,4
4,800,4
4,800,3
5,1000,4
6,1200,4
8,1600,4
8,1600,3
9,1800,3
10,2000,3
11,2200,3
12,2400,3
13,2600,4
14,2800,4
15,3000,4
16,3200,4
17,3400,5
18,3600,5
19,3800,4
20,4000,5
21,4200,4
22,4400,4
23,4600,5
24,4800,5
26,5200,5
27,5400,5
28,5600,5
28,5600,5
30,6000,5
31,6200,5
32,6400,5
33,6600,5
34,6800,5
34,6800,5
35,7000,4
36,7200,5
38,7600,5
39,7800,5
40,8000,5
41,8200,5
42,8400,5
43,8600,5
44,8800,5
45,9000,5
46,9200,5
46,9200,5
48,9600,4
49,9800,4
49,9800,4
51,10200,4
51,10200,4
52,10400,4
53,10600,4
54,10800,4
55,11000,5
56,11200,4
57,11400,5
58,11600,4
59,11800,5
60,12000,5
61,12200,5
63,12600,5
63,12600,5
64,12800,5
65,13000,5
66,13200,5
67,13400,4
68,13600,4
70,14000,4
70,14000,4
71,14200,5
72,14400,4
73,14600,4
74,14800,4
75,15000,4
76,15200,4
77,15400,5
78,15600,4
79,15800,4
80,16000,5
81,16200,4
82,16400,4
83,16600,5
84,16800,5
85,17000,5
87,17400,5
87,17400,4
88,17600,4
89,17800,4
90,18000,4
92,18400,5
92,18400,5
93,18600,4
94,18800,5
95,19000,5
96,19200,4
97,19400,5
98,19600,5
99,19800,5
101,20200,5
102,20400,5
102,20400,5
103,20600,4
104,20800,4
105,21000,5
107,21400,5
107,21400,5
109,21800,6
110,22000,6
111,22200,6
111,22200,6
113,22600,6
114,22800,6
115,23000,6
116,23200,6
116,23200,6
118,23600,5
118,23600,5
119,23800,5
120,24000,5
121,24200,5
122,24400,5
124,24800,6
124,24800,5
125,25000,6
127,25400,5
127,25400,5
128,25600,6
129,25800,5
130,26000,5
131,26200,5
132,26400,5
133,26600,5
134,26800,5
136,27200,5
137,27400,5
138,27600,5
138,27600,7
139,27800,6
140,28000,6
141,28200,6
143,28600,6
144,28800,6
145,29000,6
146,29200,6
147,29400,6
147,29400,6
148,29600,7
149,29800,6
150,30000,5
151,30200,5
152,30400,6
153,30600,6
155,31000,6
156,31200,6
157,31400,6
158,31600,6
158,31600,6
159,31800,5
160,32000,6
161,32200,6
162,32400,5
164,32800,6
165,33000,6
166,33200,5
167,33400,5
167,33400,5
169,33800,5
170,34000,6
171,34200,6
172,34400,6
173,34600,6
174,34800,6
174,34800,5
175,35000,6
176,35200,7
178,35600,5
178,35600,6
179,35800,5
181,36200,5
181,36200,6
182,36400,6
183,36600,7
184,36800,6
185,37000,6
186,37200,7
187,37400,6
189,37800,6
189,37800,6
190,38000,6
191,38200,7
192,38400,7
194,38800,6
195,39000,6
196,39200,7
196,39200,6
198,39600,6
198,39600,6
199,39800,7
200,40000,7
202,40400,7
202,40400,7
204,40800,7
204,40800,7
206,41200,7
206,41200,6
208,41600,8
208,41600,6
210,42000,8
211,42200,8
212,42400,8
212,42400,8
213,42600,7
215,43000,6
215,43000,6
216,43200,7
218,43600,7
219,43800,7
219,43800,7
221,44200,7
222,44400,7
222,44400,7
224,44800,7
225,45000,7
226,45200,7
226,45200,7
227,45400,7
228,45600,7
230,46000,8
231,46200,8
232,46400,8
233,46600,8
233,46600,8
235,47000,6
235,47000,6
236,47200,6
237,47400,6
239,47800,6
239,47800,7
241,48200,6
241,48200,6
243,48600,6
244,48800,7
244,48800,7
246,49200,7
246,49200,7
247,49400,7
249,49800,7
249,49800,7
250,50000,8
