n_iter,n_evals,max_enemies_beaten
0,0,2
0,0,3
1,200,3
2,400,3
3,600,3
4,800,3
6,1200,3
6,1200,3
7,1400,4
8,1600,3
9,1800,4
11,2200,4
12,2400,4
12,2400,5
13,2600,4
14,2800,5
15,3000,4
17,3400,5
18,3600,5
19,3800,5
19,3800,6
21,4200,5
21,4200,5
22,4400,5
23,4600,5
24,4800,5
26,5200,6
26,5200,6
27,5400,5
28,5600,5
29,5800,6
31,6200,5
31,6200,5
32,6400,8
33,6600,5
34,6800,5
35,7000,6
36,7200,6
37,7400,6
38,7600,6
40,8000,6
40,8000,5
41,8200,6
42,8400,5
43,8600,6
44,8800,5
45,9000,5
47,9400,5
47,9400,6
48,9600,6
50,10000,6
51,10200,6
51,10200,6
52,10400,6
53,10600,6
54,10800,6
55,11000,6
56,11200,6
57,11400,6
59,11800,6
59,11800,6
61,12200,6
61,12200,6
62,12400,6
63,12600,6
64,12800,6
66,13200,6
67,13400,6
67,13400,6
69,13800,6
69,13800,6
71,14200,6
72,14400,6
72,14400,6
73,14600,6
74,14800,6
76,15200,6
76,15200,7
77,15400,6
78,15600,6
79,15800,6
80,16000,6
82,16400,6
83,16600,6
84,16800,6
85,17000,6
85,17000,6
86,17200,6
87,17400,6
88,17600,6
89,17800,6
91,18200,6
91,18200,6
92,18400,6
93,18600,6
94,18800,6
95,19000,6
97,19400,6
97,19400,6
99,19800,6
99,19800,6
101,20200,6
102,20400,6
103,20600,6
103,20600,7
104,20800,6
105,21000,7
106,21200,6
107,21400,7
108,21600,6
110,22000,7
110,22000,7
112,22400,7
113,22600,7
113,22600,7
115,23000,7
116,23200,7
117,23400,7
118,23600,7
118,23600,6
119,23800,6
120,24000,6
121,24200,6
122,24400,6
124,24800,6
125,25000,6
126,25200,7
126,25200,7
128,25600,7
128,25600,7
129,25800,7
130,26000,7
131,26200,8
133,26600,7
134,26800,7
134,26800,7
136,27200,7
136,27200,7
137,27400,8
138,27600,7
139,27800,7
140,28000,7
142,28400,7
143,28600,7
144,28800,7
144,28800,7
146,29200,7
147,29400,7
147,29400,7
148,29600,7
150,30000,7
150,30000,8
152,30400,7
153,30600,7
153,30600,7
155,31000,7
155,31000,7
157,31400,7
158,31600,7
159,31800,7
160,32000,7
160,32000,7
161,32200,7
163,32600,7
163,32600,7
164,32800,7
166,33200,7
166,33200,7
168,33600,7
168,33600,7
169,33800,7
170,34000,6
171,34200,6
172,34400,6
173,34600,7
174,34800,7
175,35000,7
176,35200,7
178,35600,7
179,35800,7
179,35800,8
181,36200,7
182,36400,7
183,36600,7
184,36800,7
185,37000,7
186,37200,7
187,37400,7
188,37600,7
189,37800,7
190,38000,7
191,38200,7
191,38200,7
193,38600,7
193,38600,7
195,39000,7
196,39200,7
197,39400,7
197,39400,7
199,39800,7
200,40000,7
200,40000,6
201,40200,6
202,40400,6
203,40600,6
204,40800,7
206,41200,7
207,41400,6
207,41400,6
208,41600,6
209,41800,6
210,42000,6
211,42200,6
212,42400,6
214,42800,7
215,43000,7
216,43200,7
217,43400,6
217,43400,7
219,43800,7
220,44000,7
221,44200,7
222,44400,7
222,44400,6
223,44600,6
224,44800,7
225,45000,7
227,45400,7
227,45400,7
229,45800,7
230,46000,7
231,46200,7
231,46200,7
232,46400,7
233,46600,7
235,47000,7
235,47000,7
237,47400,7
238,47600,7
238,47600,7
239,47800,6
240,48000,6
241,48200,6
243,48600,7
243,48600,7
244,48800,7
245,49000,7
246,49200,7
247,49400,7
249,49800,7
249,49800,7
250,50000,6
