,score,enemies beaten,enemies beaten list,enemies not beaten list,enemy lives,player lives,times
0,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 70.00000000000028, 0, 0, 0]","[315, 320, 340, 354, 1000, 215, 302, 224]"
1,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
2,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 56.800000000000324, 0, 0, 0]","[413, 368, 525, 444, 1000, 247, 15, 328]"
3,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 100, 0, 0, 0]","[413, 359, 535, 1116, 1000, 479, 32, 384]"
4,1.3875,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[50.0, 70.0, 30.0, 80.0, 0, 90.0, 100, 70.0]","[0, 0, 0, 0, 82.00000000000017, 0, 0, 0]","[398, 342, 522, 485, 332, 345, 15, 367]"
5,2.4125000000000005,2,"[2, 8]","[1, 3, 4, 5, 6, 7]","[100, 0, 70.0, 90.0, 90.0, 100, 20.0, 0]","[0, 28, 0, 0, 0, 0, 0, 29.80000000000026]","[331, 176, 83, 219, 560, 187, 412, 344]"
6,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 97.60000000000002, 0, 0, 0]","[616, 243, 83, 979, 1000, 277, 130, 402]"
7,2.4125000000000005,2,"[2, 8]","[1, 3, 4, 5, 6, 7]","[100, 0, 70.0, 90.0, 90.0, 100, 20.0, 0]","[0, 28, 0, 0, 0, 0, 0, 29.80000000000026]","[331, 176, 83, 156, 572, 167, 399, 344]"
8,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 42.40000000000029, 0, 0, 0]","[315, 329, 339, 150, 1000, 181, 311, 235]"
9,0.17500000000000002,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[80.0, 40.0, 80.0, 90.0, 100, 100, 100, 70.0]","[0, 0, 0, 0, 86.80000000000013, 0, 0, 0]","[596, 399, 295, 379, 1000, 317, 23, 471]"
10,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 440, 102, 315, 205]"
11,1.3875,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[50.0, 70.0, 30.0, 80.0, 0, 90.0, 100, 70.0]","[0, 0, 0, 0, 82.00000000000017, 0, 0, 0]","[398, 342, 522, 249, 332, 214, 15, 367]"
12,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 39.40000000000028, 0, 0, 0]","[308, 329, 227, 149, 1000, 174, 313, 208]"
13,1.3624999999999998,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 40.0, 90.0, 70.0, 0, 90.0, 30.0, 90.0]","[0, 0, 0, 0, 33.40000000000027, 0, 0, 0]","[308, 329, 227, 217, 292, 147, 313, 208]"
14,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 70.00000000000028, 0, 0, 0]","[315, 320, 340, 354, 1000, 215, 292, 223]"
15,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 469, 102, 316, 205]"
